,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30,2024-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.216791,0.212475,0.237995,0.230252,0.23116,
Normalized EBITDA,13417000.0,16491000.0,35903000.0,19418000.0,14232000.0,
Net Income From Continuing Operation Net Minority Interest,8678000.0,11098000.0,24500000.0,12378000.0,10191000.0,
Reconciled Depreciation,5019000.0,5090000.0,4648000.0,6085000.0,5892000.0,
Reconciled Cost Of Revenue,143998000.0,140656000.0,135196000.0,128382000.0,146780000.0,
EBITDA,13417000.0,16491000.0,35903000.0,19418000.0,14232000.0,
EBIT,8398000.0,11401000.0,31255000.0,13333000.0,8340000.0,
Net Interest Income,4222000.0,4208000.0,4629000.0,4416000.0,5905000.0,
Interest Income,4222000.0,4208000.0,4629000.0,4416000.0,5905000.0,
Normalized Income,8678000.0,11098000.0,24500000.0,12378000.0,10191000.0,
Net Income From Continuing And Discontinued Operation,8678000.0,11098000.0,24500000.0,12378000.0,10191000.0,
Total Expenses,149942000.0,146827000.0,143622000.0,134822000.0,152891000.0,
Diluted Average Shares,16939000.0,,17723000.0,17671000.0,17664000.0,17657000.0
Basic Average Shares,16939000.0,,17595000.0,17548000.0,17546000.0,17548000.0
Diluted EPS,0.51,,1.38,0.7,0.58,1.16
Basic EPS,0.51,,1.39,0.71,0.58,1.17
Diluted NI Availto Com Stockholders,8678000.0,11098000.0,24500000.0,12378000.0,10191000.0,
Net Income Common Stockholders,8678000.0,11098000.0,24500000.0,12378000.0,10191000.0,
Net Income,8678000.0,11098000.0,24500000.0,12378000.0,10191000.0,
Minority Interests,-1994000.0,-3005000.0,-5603000.0,-2629000.0,-2082000.0,
Net Income Including Noncontrolling Interests,10672000.0,14103000.0,30103000.0,15007000.0,12273000.0,
Net Income Continuous Operations,10672000.0,14103000.0,30103000.0,15007000.0,12273000.0,
Tax Provision,2954000.0,3805000.0,9402000.0,4489000.0,3690000.0,
Pretax Income,13626000.0,17908000.0,39505000.0,19496000.0,15963000.0,
Other Income Expense,1006000.0,2299000.0,3621000.0,1747000.0,1718000.0,
Earnings From Equity Interest,1006000.0,2299000.0,3621000.0,1747000.0,1718000.0,
Net Non Operating Interest Income Expense,4222000.0,4208000.0,4629000.0,4416000.0,5905000.0,
Interest Income Non Operating,4222000.0,4208000.0,4629000.0,4416000.0,5905000.0,
Operating Income,8398000.0,11401000.0,31255000.0,13333000.0,8340000.0,
Operating Expense,5944000.0,6171000.0,8426000.0,6440000.0,6111000.0,
Selling General And Administration,5944000.0,6171000.0,8426000.0,6440000.0,6111000.0,
Gross Profit,14342000.0,17572000.0,39681000.0,19773000.0,14451000.0,
Cost Of Revenue,143998000.0,140656000.0,135196000.0,128382000.0,146780000.0,
Total Revenue,158340000.0,158228000.0,174877000.0,148155000.0,161231000.0,
Operating Revenue,158340000.0,158228000.0,174877000.0,148155000.0,161231000.0,
