,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.166,0.242,0.225159,0.239,0.171
Normalized EBITDA,13587500.0,14014400.0,13338400.0,15602700.0,13579000.0
Net Income From Continuing Operation Net Minority Interest,10601200.0,9956400.0,9583000.0,11120700.0,10431400.0
Reconciled Depreciation,271800.0,267900.0,277100.0,287700.0,280600.0
Reconciled Cost Of Revenue,766500.0,888300.0,816600.0,662500.0,861100.0
EBITDA,13587500.0,14014400.0,13338400.0,15602700.0,13579000.0
EBIT,13315700.0,13746500.0,13061300.0,15315000.0,13298400.0
Net Interest Income,-355200.0,-464000.0,-398500.0,-317700.0,-440600.0
Interest Expense,609800.0,613900.0,693600.0,704100.0,721400.0
Interest Income,254600.0,149900.0,295100.0,386400.0,280800.0
Normalized Income,10601200.0,9956400.0,9583000.0,11120700.0,10431400.0
Net Income From Continuing And Discontinued Operation,10601200.0,9956400.0,9583000.0,11120700.0,10431400.0
Total Expenses,7355700.0,8323100.0,6781800.0,6582300.0,7102900.0
Total Operating Income As Reported,13061100.0,13596600.0,12766200.0,14928600.0,13017600.0
Diluted Average Shares,3673135.0,3672943.0,3679992.0,3671121.0,3657439.0
Basic Average Shares,3539437.0,3538647.0,3533107.0,3520334.0,3513788.0
Diluted EPS,2.89,2.71,2.6,3.03,2.85
Basic EPS,3.0,2.81,2.71,3.16,2.97
Diluted NI Availto Com Stockholders,10601200.0,9956400.0,9583000.0,11120700.0,10431400.0
Net Income Common Stockholders,10601200.0,9956400.0,9583000.0,11120700.0,10431400.0
Net Income,10601200.0,9956400.0,9583000.0,11120700.0,10431400.0
Net Income Including Noncontrolling Interests,10601200.0,9956400.0,9583000.0,11120700.0,10431400.0
Net Income Continuous Operations,10601200.0,9956400.0,9583000.0,11120700.0,10431400.0
Tax Provision,2104700.0,3176200.0,2784700.0,3490200.0,2145600.0
Pretax Income,12705900.0,13132600.0,12367700.0,14610900.0,12577000.0
Net Non Operating Interest Income Expense,-355200.0,-464000.0,-398500.0,-317700.0,-440600.0
Interest Expense Non Operating,609800.0,613900.0,693600.0,704100.0,721400.0
Interest Income Non Operating,254600.0,149900.0,295100.0,386400.0,280800.0
Operating Income,13061100.0,13596600.0,12766200.0,14928600.0,13017600.0
Operating Expense,6589200.0,7434800.0,5965200.0,5919800.0,6241800.0
Provision For Doubtful Accounts,0.0,0.0,0.0,0.0,0.0
Selling General And Administration,6589200.0,7434800.0,5965200.0,5919800.0,6241800.0
Gross Profit,19650300.0,21031400.0,18731400.0,20848400.0,19259400.0
Cost Of Revenue,766500.0,888300.0,816600.0,662500.0,861100.0
Total Revenue,20416800.0,21919700.0,19548000.0,21510900.0,20120500.0
Operating Revenue,19850700.0,21355900.0,19002900.0,20982400.0,19591300.0
