,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0
Normalized EBITDA,-92644000.0,-93514000.0,-94106000.0,-102193000.0,-107540000.0
Net Income From Continuing Operation Net Minority Interest,-114698000.0,-114423000.0,-114662000.0,-119572000.0,-122975000.0
Reconciled Depreciation,21538000.0,20381000.0,20016000.0,16956000.0,14851000.0
EBITDA,-92644000.0,-93514000.0,-94106000.0,-102193000.0,-107540000.0
EBIT,-114182000.0,-113895000.0,-114122000.0,-119149000.0,-122391000.0
Net Interest Income,8424000.0,9241000.0,10056000.0,10797000.0,11454000.0
Interest Expense,516000.0,528000.0,540000.0,550000.0,562000.0
Interest Income,8940000.0,9769000.0,10596000.0,11347000.0,12016000.0
Normalized Income,-114698000.0,-114423000.0,-114662000.0,-119572000.0,-122975000.0
Net Income From Continuing And Discontinued Operation,-114698000.0,-114423000.0,-114662000.0,-119572000.0,-122975000.0
Total Expenses,123586000.0,123575000.0,128691000.0,130158000.0,134457000.0
Total Operating Income As Reported,-123586000.0,-123575000.0,-128691000.0,-130158000.0,-134457000.0
Diluted Average Shares,561698000.0,548006000.0,525871000.0,508957000.0,501232000.0
Basic Average Shares,561698000.0,548006000.0,525871000.0,508957000.0,501232000.0
Diluted EPS,-0.2,-0.21,-0.22,-0.23,-0.25
Basic EPS,-0.2,-0.21,-0.22,-0.23,-0.25
Diluted NI Availto Com Stockholders,-114698000.0,-114423000.0,-114662000.0,-119572000.0,-122975000.0
Net Income Common Stockholders,-114698000.0,-114423000.0,-114662000.0,-119572000.0,-122975000.0
Net Income,-114698000.0,-114423000.0,-114662000.0,-119572000.0,-122975000.0
Minority Interests,0.0,0.0,0.0,127000.0,-22000.0
Net Income Including Noncontrolling Interests,-114698000.0,-114423000.0,-114662000.0,-119699000.0,-122953000.0
Net Income Continuous Operations,-114698000.0,-114423000.0,-114662000.0,-119699000.0,-122953000.0
Pretax Income,-114698000.0,-114423000.0,-114662000.0,-119699000.0,-122953000.0
Other Income Expense,464000.0,-89000.0,3973000.0,-338000.0,50000.0
Other Non Operating Income Expenses,464000.0,-89000.0,3973000.0,-338000.0,50000.0
Net Non Operating Interest Income Expense,8424000.0,9241000.0,10056000.0,10797000.0,11454000.0
Interest Expense Non Operating,516000.0,528000.0,540000.0,550000.0,562000.0
Interest Income Non Operating,8940000.0,9769000.0,10596000.0,11347000.0,12016000.0
Operating Income,-123586000.0,-123575000.0,-128691000.0,-130158000.0,-134457000.0
Operating Expense,123586000.0,123575000.0,128691000.0,130158000.0,134457000.0
Research And Development,101177000.0,95589000.0,104384000.0,96994000.0,97746000.0
Selling General And Administration,22409000.0,27986000.0,24307000.0,33164000.0,36711000.0
General And Administrative Expense,22409000.0,27986000.0,24307000.0,33164000.0,36711000.0
Other Gand A,22409000.0,27986000.0,24307000.0,33164000.0,36711000.0
Total Revenue,0.0,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0,0.0
