,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,11991000.0,8084485.666105,4863121.685538,2059600.0,-1805277.777778,,
Tax Rate For Calcs,0.21,0.141091,0.083847,0.038,0.020679,,
Normalized EBITDA,2302300000.0,2160500000.0,2033600000.0,2279200000.0,1698800000.0,,
Total Unusual Items,57100000.0,57300000.0,58000000.0,54200000.0,-87300000.0,,
Total Unusual Items Excluding Goodwill,57100000.0,57300000.0,58000000.0,54200000.0,-87300000.0,,
Net Income From Continuing Operation Net Minority Interest,1225800000.0,800200000.0,664100000.0,959600000.0,340300000.0,,
Reconciled Depreciation,853100000.0,833400000.0,931100000.0,852700000.0,821900000.0,,
Reconciled Cost Of Revenue,1932100000.0,2171400000.0,1542300000.0,2002900000.0,1720000000.0,,
EBITDA,2359400000.0,2217800000.0,2091600000.0,2333400000.0,1611500000.0,,
EBIT,1506300000.0,1384400000.0,1160500000.0,1480700000.0,789600000.0,,
Net Interest Income,-489500000.0,-494900000.0,-462800000.0,-498800000.0,-465600000.0,,
Interest Expense,489500000.0,494900000.0,462800000.0,498800000.0,465600000.0,,
Normalized Income,1180691000.0,750984485.666105,610963121.685538,907459600.0,425794722.222222,,
Net Income From Continuing And Discontinued Operation,1225800000.0,800200000.0,664100000.0,959600000.0,340300000.0,,
Total Expenses,3687800000.0,4179200000.0,3600700000.0,4068600000.0,3752800000.0,,
Total Operating Income As Reported,1399100000.0,1284200000.0,1095600000.0,1351500000.0,683900000.0,,
Diluted Average Shares,536425635.0,534663493.0,,533600842.0,530140990.0,527596395.0,
Basic Average Shares,534283554.0,533391487.0,,532208876.0,528898816.0,526552036.0,
Diluted EPS,2.29,1.5,,1.8,0.64,1.9,
Basic EPS,2.29,1.5,,1.8,0.64,1.91,
Diluted NI Availto Com Stockholders,1225800000.0,800200000.0,664100000.0,959600000.0,340300000.0,,
Net Income Common Stockholders,1225800000.0,800200000.0,664100000.0,959600000.0,340300000.0,,
Net Income,1225800000.0,800200000.0,664100000.0,959600000.0,340300000.0,,
Minority Interests,-62500000.0,-2000000.0,-1800000.0,-2100000.0,-2200000.0,,
Net Income Including Noncontrolling Interests,1288300000.0,802200000.0,665900000.0,961700000.0,342500000.0,,
Net Income Continuous Operations,1288300000.0,802200000.0,665900000.0,961700000.0,342500000.0,,
Earnings From Equity Interest Net Of Tax,20600000.0,38200000.0,26700000.0,17300000.0,25200000.0,,
Tax Provision,-250900000.0,125500000.0,58500000.0,37500000.0,6700000.0,,
Pretax Income,1016800000.0,889500000.0,697700000.0,981900000.0,324000000.0,,
Other Income Expense,107200000.0,100200000.0,64900000.0,129200000.0,-36800000.0,,
Other Non Operating Income Expenses,50100000.0,42900000.0,6900000.0,75000000.0,50500000.0,,
Special Income Charges,57100000.0,57300000.0,58000000.0,54200000.0,-87300000.0,,
Gain On Sale Of Ppe,,,,,,,0.0
Gain On Sale Of Business,,,,,,,0.0
Other Special Charges,-57100000.0,-57300000.0,-58000000.0,-54200000.0,-55200000.0,,
Write Off,0.0,,0.0,0.0,142500000.0,,85600000.0
Gain On Sale Of Security,,,,,,,19300000.0
Net Non Operating Interest Income Expense,-489500000.0,-494900000.0,-462800000.0,-498800000.0,-465600000.0,,
Interest Expense Non Operating,489500000.0,494900000.0,462800000.0,498800000.0,465600000.0,,
Operating Income,1399100000.0,1284200000.0,1095600000.0,1351500000.0,826400000.0,,
Operating Expense,1755700000.0,2007800000.0,1955500000.0,2065700000.0,2032800000.0,,
Other Operating Expenses,537600000.0,752400000.0,742200000.0,805800000.0,817300000.0,,
Other Taxes,365000000.0,422000000.0,385100000.0,407200000.0,393600000.0,,
Depreciation Amortization Depletion Income Statement,853100000.0,833400000.0,828200000.0,852700000.0,821900000.0,,
Depreciation And Amortization In Income Statement,853100000.0,833400000.0,828200000.0,852700000.0,821900000.0,,
Gross Profit,3154800000.0,3292000000.0,3051100000.0,3417200000.0,2859200000.0,,
Cost Of Revenue,1932100000.0,2171400000.0,1645200000.0,2002900000.0,1720000000.0,,
Total Revenue,5086900000.0,5463400000.0,4696300000.0,5420100000.0,4579200000.0,,
Operating Revenue,4928100000.0,5331600000.0,4593700000.0,5301000000.0,4443300000.0,,
