,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.202221,0.217,0.232,0.24,0.224805,
Normalized EBITDA,213541000.0,195652000.0,181915000.0,210117000.0,184964000.0,
Net Income From Continuing Operation Net Minority Interest,127604000.0,111108000.0,97845000.0,119191000.0,101073000.0,
Reconciled Depreciation,51490000.0,51013000.0,51754000.0,50494000.0,50691000.0,
Reconciled Cost Of Revenue,343879000.0,340586000.0,332850000.0,343432000.0,327272000.0,
EBITDA,213541000.0,195652000.0,181915000.0,210117000.0,184964000.0,
EBIT,162051000.0,144639000.0,130161000.0,159623000.0,134273000.0,
Net Interest Income,4251000.0,3168000.0,4379000.0,5522000.0,4758000.0,
Interest Expense,2102000.0,2731000.0,2780000.0,2825000.0,3889000.0,
Interest Income,6353000.0,5899000.0,7159000.0,8347000.0,8647000.0,
Normalized Income,127604000.0,111108000.0,97845000.0,119191000.0,101073000.0,
Net Income From Continuing And Discontinued Operation,127604000.0,111108000.0,97845000.0,119191000.0,101073000.0,
Total Expenses,459674000.0,446347000.0,450846000.0,449706000.0,434286000.0,
Total Operating Income As Reported,155698000.0,138740000.0,123002000.0,151276000.0,125626000.0,
Diluted Average Shares,,73013000.0,73082000.0,73078000.0,73069000.0,73031000.0
Basic Average Shares,,72851000.0,72898072.0,72959064.0,72872130.0,72899613.0
Diluted EPS,,1.52,1.34,1.63,1.38,1.19
Basic EPS,,1.53,1.342217,1.63367,1.386991,1.19478
Diluted NI Availto Com Stockholders,127604000.0,111108000.0,97845000.0,119191000.0,101073000.0,
Net Income Common Stockholders,127604000.0,111108000.0,97845000.0,119191000.0,101073000.0,
Net Income,127604000.0,111108000.0,97845000.0,119191000.0,101073000.0,
Net Income Including Noncontrolling Interests,127604000.0,111108000.0,97845000.0,119191000.0,101073000.0,
Net Income Continuous Operations,127604000.0,111108000.0,97845000.0,119191000.0,101073000.0,
Tax Provision,32345000.0,30800000.0,29536000.0,37607000.0,29311000.0,
Pretax Income,159949000.0,141908000.0,127381000.0,156798000.0,130384000.0,
Net Non Operating Interest Income Expense,4251000.0,3168000.0,4379000.0,5522000.0,4758000.0,
Interest Expense Non Operating,2102000.0,2731000.0,2780000.0,2825000.0,3889000.0,
Interest Income Non Operating,6353000.0,5899000.0,7159000.0,8347000.0,8647000.0,
Operating Income,155698000.0,138740000.0,123002000.0,151276000.0,125626000.0,
Operating Expense,115795000.0,105761000.0,117996000.0,106274000.0,107014000.0,
Research And Development,42579000.0,39411000.0,41095000.0,39686000.0,39893000.0,
Selling General And Administration,73216000.0,66350000.0,76901000.0,66588000.0,67121000.0,
Gross Profit,271493000.0,244501000.0,240998000.0,257550000.0,232640000.0,
Cost Of Revenue,343879000.0,340586000.0,332850000.0,343432000.0,327272000.0,
Total Revenue,615372000.0,585087000.0,573848000.0,600982000.0,559912000.0,
Operating Revenue,615372000.0,585087000.0,573848000.0,600982000.0,559912000.0,
