,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-3099847.073289,464310.0,83928.319197,-99960.0,1665082.193401,,
Tax Rate For Calcs,0.364645,0.33,0.008713,0.21,0.334555,,
Normalized EBITDA,124192000.0,95734000.0,64909000.0,70538000.0,114186000.0,,
Total Unusual Items,-8501000.0,1407000.0,9633000.0,-476000.0,4977000.0,,
Total Unusual Items Excluding Goodwill,-8501000.0,1407000.0,9633000.0,-476000.0,4977000.0,,
Net Income From Continuing Operation Net Minority Interest,44916000.0,38882000.0,22082000.0,8018000.0,48099000.0,,
Reconciled Depreciation,28233000.0,26544000.0,26186000.0,24237000.0,24274000.0,,
Reconciled Cost Of Revenue,2210127000.0,1917211000.0,2009045000.0,1898375000.0,1923505000.0,,
EBITDA,115691000.0,97141000.0,74542000.0,70062000.0,119163000.0,,
EBIT,87458000.0,70597000.0,48356000.0,45825000.0,94889000.0,,
Net Interest Income,-14561000.0,-14142000.0,-15645000.0,-14841000.0,-16164000.0,,
Interest Expense,17516000.0,17182000.0,18055000.0,17473000.0,18788000.0,,
Interest Income,2955000.0,3040000.0,2410000.0,2632000.0,2624000.0,,
Normalized Income,50317152.926711,37939310.0,12532928.319197,8394040.0,44787082.193401,,
Net Income From Continuing And Discontinued Operation,9966000.0,38912000.0,-39149000.0,14402000.0,80117000.0,,
Total Expenses,2334435000.0,2035623000.0,2131720000.0,2014204000.0,2040109000.0,,
Total Operating Income As Reported,103219000.0,67905000.0,34809000.0,47734000.0,85888000.0,,
Diluted Average Shares,95850000.0,95677000.0,95702000.0,95614000.0,95340000.0,,
Basic Average Shares,95145000.0,95109000.0,95019000.0,94990000.0,94930000.0,,
Diluted EPS,0.1,0.41,-0.41,0.15,0.84,,
Basic EPS,0.1,0.41,-0.41,0.15,0.85,,
Diluted NI Availto Com Stockholders,9966000.0,38912000.0,-39149000.0,14402000.0,80117000.0,,
Net Income Common Stockholders,9966000.0,38912000.0,-39149000.0,14402000.0,80117000.0,,
Net Income,9966000.0,38912000.0,-39149000.0,14402000.0,80117000.0,,
Minority Interests,-8023000.0,-5247000.0,-7552000.0,-7113000.0,-7948000.0,,
Net Income Including Noncontrolling Interests,17989000.0,44159000.0,-31597000.0,21515000.0,88065000.0,,
Net Income Discontinuous Operations,-34950000.0,30000.0,-61231000.0,6384000.0,32018000.0,,
Net Income Continuous Operations,52939000.0,44129000.0,29634000.0,15131000.0,56047000.0,,
Earnings From Equity Interest Net Of Tax,8501000.0,8292000.0,-403000.0,2303000.0,5406000.0,,
Tax Provision,25504000.0,17578000.0,264000.0,15524000.0,25460000.0,,
Pretax Income,69942000.0,53415000.0,30301000.0,28352000.0,76101000.0,,
Other Income Expense,-9490000.0,3776000.0,10202000.0,-5017000.0,8283000.0,,
Other Non Operating Income Expenses,-989000.0,2369000.0,569000.0,-4541000.0,3306000.0,,
Special Income Charges,9189000.0,5417000.0,-783000.0,-476000.0,1770000.0,,
Gain On Sale Of Ppe,9323000.0,3801000.0,747000.0,1573000.0,-89000.0,,
Gain On Sale Of Business,48000.0,361000.0,472000.0,0.0,1995000.0,,
Impairment Of Capital Assets,144000.0,38000.0,2154000.0,2049000.0,0.0,,
Restructuring And Mergern Acquisition,38000.0,-1293000.0,,,136000.0,16000.0,-30000.0
Gain On Sale Of Security,-17690000.0,-4010000.0,,,3207000.0,4380000.0,-4187000.0
Net Non Operating Interest Income Expense,-14561000.0,-14142000.0,-15645000.0,-14841000.0,-16164000.0,,
Interest Expense Non Operating,17516000.0,17182000.0,18055000.0,17473000.0,18788000.0,,
Interest Income Non Operating,2955000.0,3040000.0,2410000.0,2632000.0,2624000.0,,
Operating Income,93992000.0,63781000.0,35744000.0,48210000.0,83982000.0,,
Operating Expense,124308000.0,118412000.0,122675000.0,115829000.0,116604000.0,,
Selling General And Administration,124308000.0,118412000.0,122675000.0,115829000.0,116604000.0,,
General And Administrative Expense,,,,115829000.0,,,119214000.0
Other Gand A,,,,115829000.0,,,119334000.0
Gross Profit,218300000.0,182193000.0,158419000.0,164039000.0,200586000.0,,
Cost Of Revenue,2210127000.0,1917211000.0,2009045000.0,1898375000.0,1923505000.0,,
Total Revenue,2428427000.0,2099404000.0,2167464000.0,2062414000.0,2124091000.0,,
Operating Revenue,2418860000.0,2090431000.0,2133484000.0,2062414000.0,2117512000.0,,
