,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.014,0.084,0.21,
Net Income From Continuing Operation Net Minority Interest,-211000.0,-11661000.0,-10485000.0,1556000.0,-15797000.0,
Reconciled Depreciation,18000.0,22000.0,14000.0,30000.0,1814000.0,
Net Interest Income,3767000.0,4886000.0,6072000.0,6583000.0,7541000.0,
Interest Expense,103000.0,68000.0,258000.0,500000.0,1149000.0,
Interest Income,3870000.0,4954000.0,6330000.0,7083000.0,8690000.0,
Normalized Income,-211000.0,-11661000.0,-10485000.0,1556000.0,-15797000.0,
Net Income From Continuing And Discontinued Operation,-211000.0,-11661000.0,-10485000.0,1556000.0,-15797000.0,
Diluted Average Shares,7100000.0,7288125.0,7286000.0,7409524.0,7245872.0,
Basic Average Shares,7100000.0,7288125.0,7286000.0,7409524.0,7245872.0,
Diluted EPS,-0.19,-1.6,-1.44,0.21,-2.18,
Basic EPS,-0.19,-1.6,-1.44,0.21,-2.18,
Diluted NI Availto Com Stockholders,-211000.0,-11661000.0,-10485000.0,1553000.0,-15797000.0,
Net Income Common Stockholders,-211000.0,-11661000.0,-10485000.0,1553000.0,-15797000.0,
Otherunder Preferred Stock Dividend,,,,3000.0,,
Net Income,-211000.0,-11661000.0,-10485000.0,1556000.0,-15797000.0,
Net Income Including Noncontrolling Interests,-211000.0,-11661000.0,-10485000.0,1556000.0,-15797000.0,
Net Income Continuous Operations,-211000.0,-11661000.0,-10485000.0,1556000.0,-15797000.0,
Tax Provision,0.0,0.0,-145000.0,145000.0,2000.0,
Pretax Income,-211000.0,-11661000.0,-10630000.0,1701000.0,-15795000.0,
Gain On Sale Of Security,-1054000.0,-23110000.0,0.0,0.0,0.0,
Depreciation Amortization Depletion Income Statement,,22000.0,22000.0,22000.0,64000.0,97000.0
Depreciation And Amortization In Income Statement,,22000.0,22000.0,22000.0,64000.0,97000.0
Depreciation Income Statement,,,,,,97000.0
Selling General And Administration,,3928000.0,4273000.0,4215000.0,5894000.0,9575000.0
Selling And Marketing Expense,,22000.0,36000.0,30000.0,80000.0,177000.0
General And Administrative Expense,,3906000.0,4237000.0,4185000.0,5814000.0,9398000.0
Other Gand A,,3906000.0,4237000.0,4185000.0,5814000.0,9398000.0
Total Revenue,2827000.0,-18193000.0,6072000.0,6583000.0,7541000.0,
Operating Revenue,2827000.0,-18193000.0,6072000.0,6583000.0,7541000.0,
