,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.0,0.21,0.21,0.0,0.0,,
Net Income From Continuing Operation Net Minority Interest,-15906584.0,20894588.0,-38550756.0,21632960.0,-51276517.0,,
Net Interest Income,32974200.0,37244370.0,51593279.0,43848372.0,49305170.0,,
Interest Expense,17087833.0,15330111.0,16311476.0,21160551.0,19726829.0,,
Interest Income,50062033.0,52574481.0,67904755.0,65008923.0,69031999.0,,
Normalized Income,-15906584.0,20894588.0,-38550756.0,21632960.0,-51276517.0,,
Net Income From Continuing And Discontinued Operation,-15906584.0,20894588.0,-38550756.0,21632960.0,-51276517.0,,
Diluted Average Shares,85042931.0,85077619.0,85326143.0,85591134.0,85591134.0,,
Basic Average Shares,85042931.0,85077619.0,85326143.0,85591134.0,85591134.0,,
Diluted EPS,-0.19,0.25,-0.45,0.25,-0.6,,
Basic EPS,-0.19,0.25,-0.45,0.25,-0.6,,
Diluted NI Availto Com Stockholders,-15906584.0,20894588.0,-38550756.0,21632960.0,-51276517.0,,
Net Income Common Stockholders,-15906584.0,20894588.0,-38550756.0,21632960.0,-51276517.0,,
Net Income,-15906584.0,20894588.0,-38550756.0,21632960.0,-51276517.0,,
Net Income Including Noncontrolling Interests,-15906584.0,20894588.0,-38550756.0,21632960.0,-51276517.0,,
Net Income Continuous Operations,-15906584.0,20894588.0,-38550756.0,21632960.0,-51276517.0,,
Tax Provision,,,522554.0,0.0,0.0,0.0,198711.0
Pretax Income,-15906584.0,20894588.0,-38028202.0,21632960.0,-51276517.0,,
Gain On Sale Of Security,-66297375.0,-40917338.0,-3162.0,-31425777.0,-35513930.0,,
Operating Expense,1321371.0,2872291.0,4648607.0,3168984.0,2595003.0,,
Other Operating Expenses,-1820372.0,-73426.0,1734962.0,,,1079196.0,1049004.0
Selling General And Administration,3141743.0,2945717.0,2913645.0,3168984.0,2595003.0,,
General And Administrative Expense,3141743.0,2945717.0,2913645.0,3168984.0,2595003.0,,
Total Revenue,-14585213.0,23766879.0,-33379595.0,24801944.0,-48681514.0,,
Operating Revenue,-14585213.0,23766879.0,-33379595.0,24801944.0,-48681514.0,,
