,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.000461,0.21,0.0,0.0,
Net Income From Continuing Operation Net Minority Interest,1399286.0,1409053.0,1476211.0,1348519.0,1446324.0,
Reconciled Depreciation,1271.0,1154.0,1055.0,1056.0,1055.0,
Net Interest Income,1415739.0,1429457.0,1451898.0,1417533.0,1378106.0,
Interest Expense,537218.0,603230.0,690589.0,669856.0,614389.0,
Interest Income,1952957.0,2032687.0,2142487.0,2087389.0,1992495.0,
Normalized Income,1399286.0,1409053.0,1476211.0,1348519.0,1446324.0,
Net Income From Continuing And Discontinued Operation,1399286.0,1409053.0,1476211.0,1348519.0,1446324.0,
Diluted Average Shares,11438651.0,11438651.0,11438673.0,,11461052.0,11475406.0
Basic Average Shares,11438651.0,11438651.0,11438673.0,,11461052.0,11475406.0
Diluted EPS,0.12,0.12,0.13,,0.13,0.12
Basic EPS,0.12,0.12,0.13,,0.13,0.12
Diluted NI Availto Com Stockholders,1399286.0,1409053.0,1476211.0,1348519.0,1446324.0,
Net Income Common Stockholders,1399286.0,1409053.0,1476211.0,1348519.0,1446324.0,
Net Income,1399286.0,1409053.0,1476211.0,1348519.0,1446324.0,
Net Income Including Noncontrolling Interests,1399286.0,1409053.0,1476211.0,1348519.0,1446324.0,
Net Income Continuous Operations,1399286.0,1409053.0,1476211.0,1348519.0,1446324.0,
Tax Provision,0.0,650.0,,0.0,0.0,650.0
Pretax Income,1399286.0,1409703.0,1476211.0,1348519.0,1446324.0,
Selling General And Administration,380482.0,434282.0,410278.0,550960.0,377192.0,
General And Administrative Expense,380482.0,434282.0,410278.0,550960.0,377192.0,
Other Gand A,380482.0,434282.0,410278.0,550960.0,377192.0,
Total Revenue,1779768.0,1843985.0,1886489.0,1899479.0,1823516.0,
Operating Revenue,1779768.0,1843985.0,1886489.0,1899479.0,1823516.0,
