,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.037985,0.10823,0.146841,
Normalized EBITDA,27144000.0,3878000.0,25722000.0,47097000.0,35790000.0,
Net Income From Continuing Operation Net Minority Interest,35149000.0,20547000.0,30746000.0,47213000.0,35488000.0,
Reconciled Depreciation,469000.0,462000.0,460000.0,499000.0,198000.0,
Reconciled Cost Of Revenue,3433000.0,2403000.0,2956000.0,2867000.0,2524000.0,
EBITDA,27144000.0,3878000.0,25722000.0,47097000.0,35790000.0,
EBIT,26675000.0,3416000.0,25262000.0,46598000.0,35592000.0,
Net Interest Income,5017000.0,6202000.0,6698000.0,6345000.0,6004000.0,
Interest Income,5017000.0,6202000.0,6698000.0,6345000.0,6004000.0,
Normalized Income,35149000.0,20547000.0,30746000.0,47213000.0,35488000.0,
Net Income From Continuing And Discontinued Operation,35149000.0,20547000.0,30746000.0,47213000.0,35488000.0,
Total Expenses,167755000.0,153798000.0,156628000.0,135948000.0,128204000.0,
Total Operating Income As Reported,26675000.0,3416000.0,25262000.0,46598000.0,35592000.0,
Diluted Average Shares,120485000.0,119819000.0,118459000.0,113723000.0,111244000.0,
Basic Average Shares,104111000.0,104106000.0,103643000.0,103371000.0,103118000.0,
Diluted EPS,0.29,0.17,0.26,0.41,0.32,
Basic EPS,0.33,0.19,0.29,0.45,0.34,
Diluted NI Availto Com Stockholders,34611000.0,20288000.0,30389000.0,46690000.0,35120000.0,
Net Income Common Stockholders,34611000.0,20288000.0,30389000.0,46690000.0,35120000.0,
Otherunder Preferred Stock Dividend,,259000.0,357000.0,523000.0,,248000.0
Net Income,35149000.0,20547000.0,30746000.0,47213000.0,35488000.0,
Net Income Including Noncontrolling Interests,35149000.0,20547000.0,30746000.0,47213000.0,35488000.0,
Net Income Continuous Operations,35149000.0,20547000.0,30746000.0,47213000.0,35488000.0,
Tax Provision,-3457000.0,-10929000.0,1214000.0,5730000.0,6108000.0,
Pretax Income,31692000.0,9618000.0,31960000.0,52943000.0,41596000.0,
Net Non Operating Interest Income Expense,5017000.0,6202000.0,6698000.0,6345000.0,6004000.0,
Interest Income Non Operating,5017000.0,6202000.0,6698000.0,6345000.0,6004000.0,
Operating Income,26675000.0,3416000.0,25262000.0,46598000.0,35592000.0,
Operating Expense,164322000.0,151395000.0,153672000.0,133081000.0,125680000.0,
Research And Development,60471000.0,60735000.0,70300000.0,59336000.0,58745000.0,
Selling General And Administration,103851000.0,90660000.0,83372000.0,73745000.0,66935000.0,
Gross Profit,190997000.0,154811000.0,178934000.0,179679000.0,161272000.0,
Cost Of Revenue,3433000.0,2403000.0,2956000.0,2867000.0,2524000.0,
Total Revenue,194430000.0,157214000.0,181890000.0,182546000.0,163796000.0,
Operating Revenue,194430000.0,157214000.0,181890000.0,182546000.0,163796000.0,
