,2025-06-30,2025-03-31,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.152559,0.150111,0.155988,0.129248
Normalized EBITDA,52433000.0,82711000.0,48720000.0,85794000.0
Net Income From Continuing Operation Net Minority Interest,30185000.0,59952000.0,30587000.0,64110000.0
Reconciled Depreciation,2988000.0,3011000.0,2852000.0,2590000.0
Reconciled Cost Of Revenue,1877089000.0,3528853000.0,1672726000.0,3173766000.0
EBITDA,52433000.0,82711000.0,48720000.0,85794000.0
EBIT,49445000.0,79700000.0,45868000.0,83204000.0
Net Interest Income,-6395000.0,-4478000.0,-5689000.0,-6230000.0
Interest Expense,13826000.0,9159000.0,9628000.0,9578000.0
Interest Income,7431000.0,4681000.0,3939000.0,3348000.0
Normalized Income,30185000.0,59952000.0,30587000.0,64110000.0
Net Income From Continuing And Discontinued Operation,30185000.0,59952000.0,30587000.0,64110000.0
Total Expenses,2044790000.0,3676198000.0,1802982000.0,3300316000.0
Diluted Average Shares,97003106.0,81915536.0,81915536.0,81915536.0
Basic Average Shares,80274455.0,81915536.0,81915536.0,81915536.0
Diluted EPS,0.31,0.731876,0.373397,0.782635
Basic EPS,0.38,0.731876,0.373397,0.782635
Diluted NI Availto Com Stockholders,30185000.0,59952000.0,30587000.0,64110000.0
Net Income Common Stockholders,30185000.0,59952000.0,30587000.0,64110000.0
Net Income,30185000.0,59952000.0,30587000.0,64110000.0
Net Income Including Noncontrolling Interests,30185000.0,59952000.0,30587000.0,64110000.0
Net Income Continuous Operations,30185000.0,59952000.0,30587000.0,64110000.0
Tax Provision,5434000.0,10589000.0,5653000.0,9516000.0
Pretax Income,35619000.0,70541000.0,36240000.0,73626000.0
Net Non Operating Interest Income Expense,-6395000.0,-4478000.0,-5689000.0,-6230000.0
Interest Expense Non Operating,13826000.0,9159000.0,9628000.0,9578000.0
Interest Income Non Operating,7431000.0,4681000.0,3939000.0,3348000.0
Operating Income,42014000.0,75019000.0,41929000.0,79856000.0
Operating Expense,167701000.0,147345000.0,130256000.0,126550000.0
Research And Development,38853000.0,36621000.0,34771000.0,33166000.0
Selling General And Administration,128848000.0,110724000.0,95485000.0,93384000.0
Selling And Marketing Expense,52578000.0,61222000.0,39863000.0,37342000.0
General And Administrative Expense,76270000.0,49502000.0,55622000.0,56042000.0
Other Gand A,76270000.0,49502000.0,55622000.0,56042000.0
Gross Profit,209715000.0,222364000.0,172185000.0,206406000.0
Cost Of Revenue,1877089000.0,3528853000.0,1672726000.0,3173766000.0
Total Revenue,2086804000.0,3751217000.0,1844911000.0,3380172000.0
Operating Revenue,2086804000.0,3751217000.0,1844911000.0,3380172000.0
