,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-19639947.437582,-298830000.0,-636930000.0,3750000.0,-422310000.0
Tax Rate For Calcs,0.046321,0.21,0.21,0.05,0.21
Normalized EBITDA,5747000000.0,6480000000.0,5553000000.0,7178000000.0,4417000000.0
Total Unusual Items,-424000000.0,-1423000000.0,-3033000000.0,75000000.0,-2011000000.0
Total Unusual Items Excluding Goodwill,-424000000.0,-1423000000.0,-3033000000.0,75000000.0,-2011000000.0
Net Income From Continuing Operation Net Minority Interest,2885000000.0,2967000000.0,403000000.0,4473000000.0,24000000.0
Reconciled Depreciation,1625000000.0,1618000000.0,1791000000.0,1755000000.0,1731000000.0
Reconciled Cost Of Revenue,3364000000.0,2438000000.0,5477000000.0,4820000000.0,2876000000.0
EBITDA,5323000000.0,5057000000.0,2520000000.0,7253000000.0,2406000000.0
EBIT,3698000000.0,3439000000.0,729000000.0,5498000000.0,675000000.0
Net Interest Income,-498000000.0,-511000000.0,-568000000.0,-667000000.0,-648000000.0
Interest Expense,654000000.0,654000000.0,739000000.0,783000000.0,778000000.0
Interest Income,156000000.0,143000000.0,171000000.0,116000000.0,130000000.0
Normalized Income,3289360052.562418,4091170000.0,2799070000.0,4401750000.0,1612690000.0
Net Income From Continuing And Discontinued Operation,2910000000.0,2967000000.0,410000000.0,4465000000.0,41000000.0
Total Expenses,10886000000.0,9290000000.0,14577000000.0,12417000000.0,11020000000.0
Diluted Average Shares,5706000000.0,5710000000.0,5703000000.0,5705000000.0,5696000000.0
Basic Average Shares,5685000000.0,5675000000.0,5667000000.0,5667000000.0,5666000000.0
Diluted EPS,0.51,0.52,0.07,0.78,0.01
Basic EPS,0.51,0.52,0.07,0.79,0.01
Diluted NI Availto Com Stockholders,2910000000.0,2967000000.0,410000000.0,4465000000.0,41000000.0
Net Income Common Stockholders,2910000000.0,2967000000.0,410000000.0,4465000000.0,41000000.0
Net Income,2910000000.0,2967000000.0,410000000.0,4465000000.0,41000000.0
Minority Interests,-18000000.0,-6000000.0,-8000000.0,-8000000.0,-7000000.0
Net Income Including Noncontrolling Interests,2928000000.0,2973000000.0,418000000.0,4473000000.0,48000000.0
Net Income Discontinuous Operations,25000000.0,0.0,7000000.0,-8000000.0,17000000.0
Net Income Continuous Operations,2903000000.0,2973000000.0,411000000.0,4481000000.0,31000000.0
Tax Provision,141000000.0,-189000000.0,-421000000.0,234000000.0,-134000000.0
Pretax Income,3044000000.0,2785000000.0,-10000000.0,4715000000.0,-103000000.0
Other Income Expense,-226000000.0,-1130000000.0,-2629000000.0,99000000.0,-1719000000.0
Other Non Operating Income Expenses,198000000.0,293000000.0,404000000.0,-126000000.0,252000000.0
Special Income Charges,-499000000.0,-1053000000.0,-3912000000.0,-371000000.0,-1669000000.0
Other Special Charges,424000000.0,151000000.0,216000000.0,57000000.0,175000000.0
Write Off,44000000.0,173000000.0,255000000.0,111000000.0,41000000.0
Impairment Of Capital Assets,93000000.0,224000000.0,2946000000.0,0.0,240000000.0
Restructuring And Mergern Acquisition,-62000000.0,505000000.0,495000000.0,203000000.0,1213000000.0
Earnings From Equity Interest,0.0,0.0,0.0,150000000.0,40000000.0
Gain On Sale Of Security,75000000.0,-370000000.0,879000000.0,446000000.0,-342000000.0
Net Non Operating Interest Income Expense,-498000000.0,-511000000.0,-568000000.0,-667000000.0,-648000000.0
Interest Expense Non Operating,654000000.0,654000000.0,739000000.0,783000000.0,778000000.0
Interest Income Non Operating,156000000.0,143000000.0,171000000.0,116000000.0,130000000.0
Operating Income,3767000000.0,4425000000.0,3187000000.0,5284000000.0,2263000000.0
Operating Expense,7108000000.0,6445000000.0,8668000000.0,7154000000.0,7720000000.0
Depreciation Amortization Depletion Income Statement,1211000000.0,1211000000.0,1359000000.0,1312000000.0,1307000000.0
Depreciation And Amortization In Income Statement,1211000000.0,1211000000.0,1359000000.0,1312000000.0,1307000000.0
Amortization,1211000000.0,1211000000.0,1359000000.0,1312000000.0,1307000000.0
Amortization Of Intangibles Income Statement,1211000000.0,1211000000.0,1359000000.0,1312000000.0,1307000000.0
Research And Development,2482000000.0,2203000000.0,3035000000.0,2598000000.0,2696000000.0
Selling General And Administration,3415000000.0,3031000000.0,4274000000.0,3244000000.0,3717000000.0
Gross Profit,10875000000.0,10870000000.0,11855000000.0,12438000000.0,9983000000.0
Cost Of Revenue,3778000000.0,2845000000.0,5909000000.0,5263000000.0,3300000000.0
Total Revenue,14653000000.0,13715000000.0,17764000000.0,17701000000.0,13283000000.0
Operating Revenue,14653000000.0,13715000000.0,17764000000.0,17701000000.0,13283000000.0
