,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0007,0.0828,0.078368,0.08427,0.07106
Net Income From Continuing Operation Net Minority Interest,-7870000.0,-2005000.0,5445000.0,-815000.0,3961000.0
Net Interest Income,9247000.0,6142000.0,4752000.0,3897000.0,279000.0
Interest Expense,6215000.0,6707000.0,7752000.0,10235000.0,10100000.0
Interest Income,15462000.0,12849000.0,12504000.0,14132000.0,10379000.0
Normalized Income,-7870000.0,-2005000.0,5445000.0,-815000.0,3961000.0
Net Income From Continuing And Discontinued Operation,-7870000.0,-2005000.0,5445000.0,-815000.0,3961000.0
Diluted Average Shares,34811555.0,28733893.0,25591607.0,20354062.0,19548408.0
Basic Average Shares,34811555.0,28733893.0,25591607.0,20354062.0,19548408.0
Diluted EPS,-0.23,-0.07,0.21,-0.04,0.2
Basic EPS,-0.23,-0.07,0.21,-0.04,0.2
Diluted NI Availto Com Stockholders,-7870000.0,-2005000.0,5445000.0,-815000.0,3961000.0
Net Income Common Stockholders,-7870000.0,-2005000.0,5445000.0,-815000.0,3961000.0
Net Income,-7870000.0,-2005000.0,5445000.0,-815000.0,3961000.0
Net Income Including Noncontrolling Interests,-7870000.0,-2005000.0,5445000.0,-815000.0,3961000.0
Net Income Continuous Operations,-7870000.0,-2005000.0,5445000.0,-815000.0,3961000.0
Tax Provision,-6000.0,-181000.0,463000.0,-75000.0,303000.0
Pretax Income,-7876000.0,-2186000.0,5908000.0,-890000.0,4264000.0
Gain On Sale Of Security,-15569000.0,-4820000.0,3291000.0,-2607000.0,5612000.0
Selling General And Administration,520000.0,446000.0,594000.0,524000.0,364000.0
General And Administrative Expense,520000.0,446000.0,594000.0,524000.0,364000.0
Insurance And Claims,93000.0,91000.0,93000.0,93000.0,94000.0
Salaries And Wages,427000.0,355000.0,501000.0,431000.0,270000.0
Total Revenue,-5294000.0,83000.0,8633000.0,1274000.0,5891000.0
Operating Revenue,-5294000.0,83000.0,8633000.0,1274000.0,5891000.0
Professional Expense And Contract Services Expense,603000.0,416000.0,661000.0,690000.0,339000.0
Other Non Interest Expense,1459000.0,1407000.0,1470000.0,950000.0,924000.0
