quarter,epsActual,epsEstimate,epsDifference,surprisePercent
2025-06-30,0.9054,0.944,-0.04,-0.040900003
2025-03-31,0.6069,0.846,-0.24,-0.28260002
2024-12-31,1.16,1.12667,0.03,0.0296
2024-09-30,1.1229,1.02429,0.1,0.0963
