,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.003669,0.000128,0.007833,0.04611,0.010356,
Net Income From Continuing Operation Net Minority Interest,7774000.0,23413000.0,27675000.0,23889000.0,34471000.0,
Net Interest Income,31692000.0,30143000.0,32459000.0,35177000.0,35260000.0,
Interest Expense,31138000.0,31374000.0,34846000.0,37661000.0,33113000.0,
Interest Income,62830000.0,61517000.0,67305000.0,72838000.0,68373000.0,
Normalized Income,7774000.0,23413000.0,27675000.0,23889000.0,34471000.0,
Net Income From Continuing And Discontinued Operation,7774000.0,23413000.0,27675000.0,23889000.0,34471000.0,
Diluted Average Shares,126733459.0,126852911.0,,126779819.0,125759769.0,122443478.0
Basic Average Shares,107750160.0,107851415.0,,107851415.0,106891784.0,103660370.0
Diluted EPS,0.07,0.22,,0.22,0.31,0.26
Basic EPS,0.07,0.22,,0.22,0.32,0.26
Diluted NI Availto Com Stockholders,11971000.0,27475000.0,31575000.0,27789000.0,38371000.0,
Average Dilution Earnings,4197000.0,4062000.0,3900000.0,3900000.0,3900000.0,
Net Income Common Stockholders,7774000.0,23413000.0,27675000.0,23889000.0,34471000.0,
Net Income,7774000.0,23413000.0,27675000.0,23889000.0,34471000.0,
Minority Interests,-101000.0,-104000.0,-66000.0,-5000.0,-313000.0,
Net Income Including Noncontrolling Interests,7875000.0,23517000.0,27741000.0,23894000.0,34784000.0,
Net Income Continuous Operations,7875000.0,23517000.0,27741000.0,23894000.0,34784000.0,
Tax Provision,29000.0,3000.0,219000.0,1155000.0,364000.0,
Pretax Income,7904000.0,23520000.0,27960000.0,25049000.0,35148000.0,
Gain On Sale Of Security,13389000.0,37825000.0,1692000.0,-531000.0,-31166000.0,
Operating Expense,29000.0,1187000.0,1762000.0,1639000.0,1901000.0,
Other Operating Expenses,-2586000.0,-1822000.0,-1007000.0,-970000.0,-861000.0,
Selling General And Administration,2615000.0,3009000.0,2769000.0,2609000.0,2762000.0,
General And Administrative Expense,2615000.0,3009000.0,2769000.0,2609000.0,2762000.0,
Total Revenue,7933000.0,24707000.0,29722000.0,26688000.0,37049000.0,
Operating Revenue,7933000.0,24707000.0,29722000.0,26688000.0,37049000.0,
