,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.19989,0.202589,0.192412,0.205465,0.208727
Normalized EBITDA,1828594.0,2241592.0,1203270.0,2207019.0,1341088.0
Net Income From Continuing Operation Net Minority Interest,1598317.0,1893296.0,1031930.0,1795370.0,1094544.0
Reconciled Depreciation,109381.0,109692.0,110299.0,114134.0,119392.0
Reconciled Cost Of Revenue,7642336.0,8409994.0,6190462.0,7159966.0,6322837.0
EBITDA,1828594.0,2241592.0,1203270.0,2207019.0,1341088.0
EBIT,1719213.0,2131900.0,1092971.0,2092885.0,1221696.0
Net Interest Income,267617.0,237416.0,181940.0,161513.0,147430.0
Interest Income,267617.0,237416.0,181940.0,161513.0,147430.0
Normalized Income,1598317.0,1893296.0,1031930.0,1795370.0,1094544.0
Net Income From Continuing And Discontinued Operation,1598317.0,1893296.0,1031930.0,1795370.0,1094544.0
Total Expenses,8724005.0,9479011.0,7161682.0,8209656.0,7346518.0
Total Operating Income As Reported,1719213.0,2131900.0,1092971.0,2092885.0,1221696.0
Diluted Average Shares,2600237.0,,2571921.0,2499210.0,2485789.0
Basic Average Shares,2525937.0,,2491906.0,2478588.0,2470092.0
Diluted EPS,0.61,,0.4,0.72,0.44
Basic EPS,0.63,,0.41,0.73,0.44
Diluted NI Availto Com Stockholders,1598317.0,1893296.0,1031930.0,1795370.0,1094544.0
Net Income Common Stockholders,1598317.0,1893296.0,1031930.0,1795370.0,1094544.0
Net Income,1598317.0,1893296.0,1031930.0,1795370.0,1094544.0
Net Income Including Noncontrolling Interests,1598317.0,1893296.0,1031930.0,1795370.0,1094544.0
Net Income Continuous Operations,1598317.0,1893296.0,1031930.0,1795370.0,1094544.0
Tax Provision,399304.0,481008.0,245862.0,464279.0,288725.0
Pretax Income,1997621.0,2374304.0,1277792.0,2259649.0,1383269.0
Other Income Expense,10791.0,4988.0,2881.0,5251.0,14143.0
Other Non Operating Income Expenses,10791.0,4988.0,2881.0,5251.0,14143.0
Net Non Operating Interest Income Expense,267617.0,237416.0,181940.0,161513.0,147430.0
Interest Income Non Operating,267617.0,237416.0,181940.0,161513.0,147430.0
Operating Income,1719213.0,2131900.0,1092971.0,2092885.0,1221696.0
Operating Expense,1081669.0,1069017.0,971220.0,1049690.0,1023681.0
Selling General And Administration,1081669.0,1069017.0,971220.0,1049690.0,1023681.0
Gross Profit,2800882.0,3200917.0,2064191.0,3142575.0,2245377.0
Cost Of Revenue,7642336.0,8409994.0,6190462.0,7159966.0,6322837.0
Total Revenue,10443218.0,11610911.0,8254653.0,10302541.0,8568214.0
Operating Revenue,10443218.0,11610911.0,8254653.0,10302541.0,8568214.0
