GradeDate,Firm,ToGrade,FromGrade,Action
2024-08-08 19:01:02,JMP Securities,Market Outperform,Market Outperform,reit
2024-08-08 18:53:50,Citigroup,Neutral,Neutral,main
2024-08-08 17:12:00,Piper Sandler,Neutral,Neutral,main
2024-08-08 16:00:19,JP Morgan,Underweight,Underweight,main
2024-08-08 13:42:34,"Keefe, Bruyette & Woods",Market Perform,Market Perform,main
2024-08-08 12:09:47,Needham,Hold,,reit
2024-08-05 10:57:03,Citigroup,Neutral,Sell,up
2024-07-19 13:07:54,Keybanc,Overweight,Overweight,main
2024-07-11 14:51:41,Goldman Sachs,Neutral,Neutral,main
2024-07-10 23:40:09,Barclays,Underweight,Underweight,main
2024-07-09 11:36:58,Piper Sandler,Neutral,Neutral,main
2024-06-26 10:20:39,Wolfe Research,Outperform,Peer Perform,up
2024-06-20 12:56:16,Deutsche Bank,Hold,Hold,main
2024-06-13 14:58:30,Citigroup,Sell,Sell,main
2024-06-12 15:34:28,JMP Securities,Market Outperform,Market Outperform,reit
2024-06-07 17:19:11,JMP Securities,Market Outperform,Market Outperform,reit
2024-06-06 14:12:57,Needham,Hold,,reit
2024-05-17 10:20:47,B of A Securities,Buy,Underperform,up
2024-05-16 16:53:51,JMP Securities,Market Outperform,Market Outperform,reit
2024-05-10 15:45:48,Morgan Stanley,Equal-Weight,Equal-Weight,main
2024-05-09 18:36:28,JMP Securities,Market Outperform,Market Outperform,main
2024-05-09 15:32:56,Barclays,Underweight,Underweight,main
2024-05-09 12:05:29,Needham,Hold,,reit
2024-05-09 11:29:31,Piper Sandler,Neutral,Neutral,main
2024-05-06 14:33:56,Needham,Hold,,reit
2024-05-06 11:15:25,Mizuho,Buy,Buy,main
2024-04-22 11:55:27,Keybanc,Overweight,Overweight,main
2024-04-15 14:29:29,Goldman Sachs,Neutral,Neutral,main
2024-04-12 12:38:43,Piper Sandler,Neutral,Neutral,main
2024-04-11 13:00:12,Citigroup,Sell,Neutral,down
2024-04-09 17:01:05,Morgan Stanley,Equal-Weight,Equal-Weight,main
2024-04-09 11:25:55,JMP Securities,Market Outperform,Market Outperform,main
2024-04-08 14:20:50,Barclays,Underweight,Underweight,main
2024-04-03 09:26:58,"Keefe, Bruyette & Woods",Market Perform,,init
2024-03-28 14:30:12,JMP Securities,Market Outperform,Market Outperform,reit
2024-03-28 08:29:23,Keybanc,Overweight,Overweight,main
2024-03-15 11:41:21,Mizuho,Buy,Buy,main
2024-03-14 16:22:02,Deutsche Bank,Hold,Hold,main
2024-03-14 09:30:30,Bernstein,Outperform,,init
2024-02-14 18:07:23,JMP Securities,Market Outperform,Market Outperform,main
2024-02-14 17:59:10,JP Morgan,Underweight,Underweight,main
2024-02-14 16:10:08,Piper Sandler,Neutral,Neutral,main
2024-02-14 14:32:52,Barclays,Underweight,Underweight,main
2024-02-14 10:02:25,Keybanc,Overweight,Overweight,main
2024-01-18 17:05:45,Mizuho,Buy,Buy,main
2024-01-11 13:36:22,Goldman Sachs,Neutral,Neutral,main
2024-01-08 09:33:55,Keybanc,Overweight,Overweight,main
2023-12-01 19:29:36,JMP Securities,Market Outperform,Market Outperform,reit
2023-11-24 13:01:13,Morgan Stanley,Equal-Weight,Equal-Weight,main
2023-11-08 18:50:24,Mizuho,Buy,Buy,main
2023-11-08 18:46:25,Piper Sandler,Neutral,Neutral,main
2023-10-11 14:48:58,Morgan Stanley,Equal-Weight,Equal-Weight,main
2023-10-11 14:30:27,Needham,Hold,,init
2023-10-10 16:23:28,JMP Securities,Market Outperform,Market Outperform,main
2023-10-10 14:05:40,Barclays,Underweight,Underweight,main
2023-08-07 12:59:39,Mizuho,Buy,Buy,main
2023-08-04 19:08:29,Morgan Stanley,Equal-Weight,Equal-Weight,reit
2023-08-04 08:33:12,Keybanc,Overweight,Overweight,main
2023-08-03 16:53:37,Piper Sandler,Neutral,Neutral,main
2023-08-03 11:37:15,Citigroup,Neutral,Neutral,main
2023-08-03 11:29:11,Barclays,Underweight,Underweight,main
2023-07-13 13:57:01,Morgan Stanley,Equal-Weight,Equal-Weight,main
2023-07-13 11:23:32,Goldman Sachs,Neutral,Neutral,main
2023-07-13 10:52:39,Barclays,Underweight,Underweight,main
2023-07-10 13:31:39,JMP Securities,Market Outperform,Market Outperform,reit
2023-07-05 10:43:46,Piper Sandler,Neutral,Neutral,main
2023-06-30 13:19:34,JMP Securities,Market Outperform,Market Outperform,reit
2023-06-08 16:15:34,Barclays,Underweight,,main
2023-05-12 10:12:36,Barclays,Underweight,Underweight,main
2023-05-11 22:47:13,Citigroup,Neutral,Neutral,main
2023-05-11 11:58:29,JMP Securities,Market Outperform,Market Outperform,reit
2023-03-22 10:06:28,Barclays,Underweight,,main
2023-03-13 12:13:45,JMP Securities,Market Outperform,,reit
2023-02-09 13:34:08,JP Morgan,Underweight,,main
2023-02-09 11:31:52,Deutsche Bank,Hold,,main
2023-01-11 13:58:29,Morgan Stanley,Equal-Weight,,main
