,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.199537,0.205,0.212,0.21175,0.206321,
Net Income From Continuing Operation Net Minority Interest,49828000.0,47105000.0,53746000.0,47619000.0,58137000.0,
Net Interest Income,86791000.0,87340000.0,86368000.0,82169000.0,87643000.0,
Interest Expense,320937000.0,316366000.0,309949000.0,269204000.0,294168000.0,
Interest Income,407728000.0,403706000.0,396317000.0,351373000.0,381811000.0,
Normalized Income,49828000.0,47105000.0,53746000.0,47619000.0,58137000.0,
Net Income From Continuing And Discontinued Operation,49828000.0,47105000.0,53746000.0,47619000.0,58137000.0,
Diluted Average Shares,10966000.0,10956000.0,10969000.0,10952000.0,10938000.0,
Basic Average Shares,10883000.0,10879000.0,10847000.0,10841000.0,10839000.0,
Diluted EPS,3.86,3.68,4.28,3.73,4.69,
Basic EPS,3.89,3.71,4.33,3.77,4.74,
Diluted NI Availto Com Stockholders,42312000.0,40313000.0,46955000.0,40828000.0,51345000.0,
Average Dilution Earnings,0.0,0.0,,,0.0,0.0
Net Income Common Stockholders,42312000.0,40313000.0,46955000.0,40828000.0,51345000.0,
Otherunder Preferred Stock Dividend,1619000.0,,,,,
Preferred Stock Dividends,5897000.0,6792000.0,6791000.0,6791000.0,6792000.0,
Net Income,49828000.0,47105000.0,53746000.0,47619000.0,58137000.0,
Net Income Including Noncontrolling Interests,49828000.0,47105000.0,53746000.0,47619000.0,58137000.0,
Net Income Continuous Operations,49828000.0,47105000.0,53746000.0,47619000.0,58137000.0,
Tax Provision,12421000.0,12113000.0,14500000.0,12792000.0,15113000.0,
Pretax Income,62249000.0,59218000.0,68246000.0,60411000.0,73250000.0,
Gain On Sale Of Security,-1934000.0,-747000.0,2079000.0,-1871000.0,2671000.0,
Selling General And Administration,23862000.0,23744000.0,26512000.0,24439000.0,23203000.0,
General And Administrative Expense,23862000.0,23744000.0,26512000.0,24439000.0,23203000.0,
Other Gand A,8625000.0,8904000.0,8255000.0,8916000.0,9100000.0,
Salaries And Wages,15237000.0,14840000.0,18257000.0,15523000.0,14103000.0,
Total Revenue,90290000.0,89917000.0,93613000.0,85000000.0,97103000.0,
Operating Revenue,90290000.0,89917000.0,93613000.0,85000000.0,97103000.0,
Other Non Interest Expense,921000.0,725000.0,725000.0,725000.0,831000.0,
