Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-26 09:00:00-05:00,1.5,1.53,0.02
2024-01-19 08:00:00-05:00,1.5,1.53,0.02
2024-01-18 16:00:00-05:00,1.5,1.53,0.021800000000000003
2023-10-18 16:00:00-04:00,1.94,2.07,0.0694
2023-07-20 16:00:00-04:00,2.14,2.25,0.0529
