Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2023-10-18 12:00:00-04:00,1.36,1.45,0.065
2023-07-20 08:00:00-04:00,1.16,3.14,1.6959
2023-04-20 21:00:00-04:00,1.1,1.27,0.1598
2023-01-25 20:00:00-05:00,1.37,0.99,-0.278
2022-10-17 15:00:00-04:00,1.26,1.11,-0.11970000000000001
2022-07-20 21:00:00-04:00,1.08,0.96,-0.1143
2022-04-21 21:00:00-04:00,1.15,1.0,-0.1309
2022-01-26 20:00:00-05:00,1.69,1.86,0.1039
2022-01-12 20:00:00-05:00,1.69,1.86,0.1036
2021-10-20 21:00:00-04:00,1.32,1.74,0.3182
2021-10-11 21:00:00-04:00,1.32,1.74,0.3184
2021-07-20 21:00:00-04:00,1.23,1.75,0.4265
