Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2020-05-07 04:00:00-04:00,-0.08,0.04,1.5194999999999999
2020-03-02 02:00:00-05:00,0.03,-0.22,-8.333300000000001
2019-11-07 02:00:00-05:00,0.03,-0.12,-5.8
2019-08-08 03:00:00-04:00,0.07,-0.16,-3.2857
2019-05-09 03:00:00-04:00,0.13,0.13,-0.0226
2019-03-01 02:00:00-05:00,0.16,-0.5,-4.1646
2018-11-06 02:00:00-05:00,0.12,0.19,0.6522
2018-08-07 03:00:00-04:00,0.14,0.52,2.662
2018-05-09 13:00:00-04:00,0.16,0.99,5.0736
2018-02-27 02:00:00-05:00,0.19,0.15,-0.2021
2017-11-09 02:00:00-05:00,0.16,0.14,-0.1026
