Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-04-24 06:00:00-04:00,1.16,1.18,0.015500000000000002
2024-04-16 11:00:00-04:00,1.16,1.18,0.0172
2024-01-24 06:00:00-05:00,1.17,1.02,-0.1259
2023-10-25 06:00:00-04:00,1.15,1.2,0.0396
2023-07-26 06:00:00-04:00,1.15,0.94,-0.1813
2023-04-26 06:00:00-04:00,1.34,1.37,0.0201
2023-01-25 06:00:00-05:00,1.49,1.51,0.0122
