Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-27 06:00:00-05:00,-0.6,-0.62,-0.0318
2023-11-14 06:00:00-05:00,-0.58,-0.59,-0.0129
2023-08-10 06:00:00-04:00,-0.53,-0.51,0.0315
2023-05-11 06:00:00-04:00,-0.51,-0.44,0.141
2023-03-16 06:00:00-04:00,-0.43,-0.49,-0.1406
2022-11-10 06:00:00-05:00,-0.44,-0.41,0.0611
2022-08-10 06:00:00-04:00,-0.41,-0.38,0.0788
2022-05-12 06:00:00-04:00,-0.4,-0.36,0.09240000000000001
2022-03-29 06:00:00-04:00,-0.32,-0.36,-0.1134
2021-11-10 06:00:00-05:00,-0.25,-0.39,-0.5314
2021-09-08 06:00:00-04:00,-0.19,-3.17,-15.256400000000001
