Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2023-07-26 03:00:00-04:00,1.15,1.02,-0.11170000000000001
2023-04-26 03:00:00-04:00,1.01,1.09,0.0803
2023-02-02 02:00:00-05:00,0.99,1.09,0.09880000000000001
2022-11-09 02:00:00-05:00,0.85,0.84,-0.0106
2022-07-27 03:00:00-04:00,0.85,0.86,0.0118
2022-04-20 03:00:00-04:00,0.82,0.9,0.09630000000000001
2022-01-27 01:00:00-05:00,0.96,0.96,0.0031
2021-10-21 02:00:00-04:00,1.02,1.03,0.012
2021-07-21 03:00:00-04:00,0.77,0.76,-0.0073
2021-04-21 03:00:00-04:00,0.66,0.77,0.1702
2021-01-28 02:00:00-05:00,0.99,0.99,0.0040999999999999995
2020-10-22 03:00:00-04:00,0.79,1.08,0.374
