Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2023-10-26 02:00:00-04:00,2.05,2.24,0.0906
2023-07-27 02:00:00-04:00,2.33,2.05,-0.1191
2023-04-27 02:00:00-04:00,2.79,2.84,0.0171
2023-02-09 03:00:00-05:00,6.22,6.33,0.017
2022-10-27 02:00:00-04:00,2.13,2.2,0.0336
2022-07-28 02:00:00-04:00,2.3,2.32,0.0103
2022-04-28 02:00:00-04:00,2.47,2.66,0.0782
2022-02-08 01:00:00-05:00,5.49,5.67,0.0323
2021-10-28 02:00:00-04:00,1.59,1.73,0.08650000000000001
2021-08-03 02:00:00-04:00,1.99,2.66,0.3397
2021-04-29 02:00:00-04:00,3.28,3.64,0.10960000000000002
