Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-09 07:00:00-05:00,0.17,0.18,0.033100000000000004
2023-11-02 07:00:00-04:00,0.16,0.16,-0.0028000000000000004
2023-08-01 07:00:00-04:00,0.16,0.16,0.0198
2023-05-04 16:00:00-04:00,0.15,0.45,1.9693
2023-02-13 07:00:00-05:00,0.15,0.15,0.0149
2022-11-04 07:00:00-04:00,0.13,0.14,0.08990000000000001
2022-08-04 07:00:00-04:00,0.11,0.13,0.1685
2022-05-05 07:00:00-04:00,0.12,0.11,-0.0572
2022-02-17 07:00:00-05:00,0.11,0.12,0.0589
2021-11-09 16:00:00-05:00,0.08,0.11,0.375
