Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2023-11-01 02:00:00-04:00,1.76,1.78,0.013500000000000002
2023-07-26 02:00:00-04:00,1.66,1.77,0.06620000000000001
2023-04-26 02:00:00-04:00,1.58,1.65,0.0441
2023-01-25 01:00:00-05:00,1.51,1.53,0.0141
2022-11-02 02:00:00-04:00,1.87,1.88,0.008
2022-07-27 02:00:00-04:00,1.75,1.86,0.065
2022-04-27 02:00:00-04:00,1.7,1.81,0.065
2022-01-26 01:00:00-05:00,1.61,1.76,0.0908
2021-10-27 02:00:00-04:00,1.64,1.69,0.0333
2021-07-28 02:00:00-04:00,1.58,1.79,0.1304
2021-04-21 02:00:00-04:00,1.48,1.57,0.0596
2021-01-27 01:00:00-05:00,1.28,1.47,0.1463
