Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-04-24 16:00:00-04:00,0.5,0.57,0.1423
2024-01-30 16:00:00-05:00,0.61,0.59,-0.0271
2023-10-25 16:00:00-04:00,0.62,0.7,0.13369999999999999
2023-07-26 16:00:00-04:00,0.68,0.65,-0.0375
2023-04-26 17:00:00-04:00,0.8,0.54,-0.3246
2023-01-26 16:00:00-05:00,1.03,0.82,-0.201
2022-10-25 16:00:00-04:00,0.9,0.8,-0.11410000000000001
2022-07-26 16:00:00-04:00,0.7,0.59,-0.1605
2022-04-28 17:00:00-04:00,-0.31,-0.36,-0.1613
2022-01-27 16:00:00-05:00,0.72,0.83,0.1528
2021-10-26 16:00:00-04:00,0.74,0.76,0.0234
2021-07-27 16:00:00-04:00,0.72,0.69,-0.0461
