Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-26 16:00:00-05:00,1.61,1.62,0.0086
2023-11-01 16:00:00-04:00,1.82,1.82,-0.0027
2023-08-02 16:00:00-04:00,1.76,1.99,0.1322
2023-05-03 16:00:00-04:00,2.09,1.94,-0.0731
2023-02-22 17:00:00-05:00,3.4,3.36,-0.0105
2022-11-02 17:00:00-04:00,4.1,4.04,-0.0143
2022-08-03 17:00:00-04:00,4.29,3.68,-0.14250000000000002
2022-05-04 17:00:00-04:00,3.33,3.43,0.0286
2022-02-23 17:00:00-05:00,2.74,2.66,-0.0308
2021-11-03 16:00:00-04:00,2.52,2.93,0.1634
2021-08-04 01:00:00-04:00,1.48,1.49,0.0044
2021-05-05 16:00:00-04:00,0.87,1.49,0.7077
