Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-21 16:00:00-05:00,0.07,0.07,0.0426
2023-11-02 16:00:00-04:00,0.07,0.08,0.1295
2023-08-03 16:00:00-04:00,0.09,0.09,0.0189
2023-05-02 16:00:00-04:00,0.09,0.08,-0.0588
2023-02-23 16:00:00-05:00,0.06,0.08,0.29410000000000003
2022-11-10 16:00:00-05:00,0.08,0.09,0.0645
2022-08-11 16:00:00-04:00,0.12,0.11,-0.0748
2022-05-12 16:00:00-04:00,0.11,0.11,-0.011200000000000002
2022-03-24 16:00:00-04:00,0.08,0.1,0.2162
2021-11-11 16:00:00-05:00,0.1,0.11,0.13240000000000002
2021-08-12 18:00:00-04:00,0.09,0.14,0.5909000000000001
