Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-21 16:00:00-05:00,1.06,0.6,-0.4313
2023-11-07 16:00:00-05:00,1.02,0.96,-0.0588
2023-08-08 16:00:00-04:00,0.94,0.63,-0.3298
2023-05-03 16:00:00-04:00,0.67,0.39,-0.4216
2023-02-22 16:00:00-05:00,0.72,1.1,0.5214
2020-05-06 13:00:00-04:00,0.35,0.15,-0.5751
2020-02-26 11:00:00-05:00,0.32,0.44,0.358
2019-11-06 11:00:00-05:00,0.33,0.36,0.0876
2019-08-07 12:00:00-04:00,0.32,0.3,-0.0712
2019-05-07 12:00:00-04:00,0.31,0.37,0.1821
2019-02-27 12:00:00-05:00,0.27,0.34,0.2593
