Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-29 16:00:00-05:00,0.82,0.9,0.09179999999999999
2023-10-23 16:00:00-04:00,0.87,1.03,0.1894
2023-07-25 16:00:00-04:00,0.93,1.1,0.1811
2023-05-10 16:00:00-04:00,0.85,1.25,0.4764
2023-01-23 17:00:00-05:00,1.9,2.13,0.1211
2022-10-24 17:00:00-04:00,1.85,1.86,0.0063
2022-07-25 17:00:00-04:00,1.78,1.9,0.0645
2022-04-25 17:00:00-04:00,1.7,1.81,0.06269999999999999
2022-01-24 17:00:00-05:00,1.13,1.25,0.1091
2021-10-25 17:00:00-04:00,1.36,1.89,0.38560000000000005
2021-07-26 17:00:00-04:00,1.38,1.83,0.32180000000000003
2021-05-03 17:00:00-04:00,1.29,1.66,0.2828
