Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-27 06:00:00-05:00,0.83,0.86,0.032400000000000005
2023-11-07 06:00:00-05:00,0.63,0.64,0.024
2023-08-08 06:00:00-04:00,0.51,0.63,0.2475
2023-05-09 06:00:00-04:00,0.42,0.45,0.08
2023-02-27 16:00:00-05:00,0.71,0.75,0.0638
2022-11-08 06:00:00-05:00,0.67,0.56,-0.161
2022-08-09 06:00:00-04:00,0.44,0.43,-0.0227
2022-05-11 06:00:00-04:00,0.42,0.33,-0.2143
2022-03-01 07:00:00-05:00,0.56,0.6,0.0651
2021-11-10 06:00:00-05:00,0.65,0.45,-0.31120000000000003
