Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2023-10-19 00:00:00-04:00,1.17,1.29,0.1003
2023-07-20 00:00:00-04:00,1.08,1.14,0.054400000000000004
2023-04-20 02:00:00-04:00,1.2,1.31,0.0902
2023-01-12 00:00:00-05:00,1.76,1.91,0.08470000000000001
2022-10-13 03:00:00-04:00,1.69,1.79,0.056799999999999996
2022-07-14 01:00:00-04:00,1.51,1.55,0.024300000000000002
2022-04-14 00:00:00-04:00,1.33,1.39,0.0454
2022-01-28 08:00:00-05:00,1.14,1.15,0.010400000000000001
2021-10-13 23:00:00-04:00,1.04,1.08,0.04070000000000001
2021-07-15 01:00:00-04:00,0.93,0.93,0.0027
2021-04-15 05:00:00-04:00,0.94,0.96,0.0213
2021-01-14 18:00:00-05:00,0.95,0.97,0.0265
