Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2023-10-24 02:00:00-04:00,0.06,-0.31,-6.5357
2023-07-26 11:00:00-04:00,0.19,0.22,0.15789999999999998
2023-07-25 12:00:00-04:00,0.19,0.22,0.1656
2023-04-25 12:00:00-04:00,0.61,0.66,0.0877
2023-01-26 11:00:00-05:00,0.97,0.51,-0.47409999999999997
2022-10-19 12:00:00-04:00,1.06,1.02,-0.0405
2022-07-20 12:00:00-04:00,1.06,1.02,-0.038
