Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2023-11-08 11:00:00-05:00,1.89,1.92,0.016
2023-08-08 10:00:00-04:00,1.72,1.35,-0.2136
2023-05-09 10:00:00-04:00,-0.16,-0.26,-0.5758
2023-02-28 11:00:00-05:00,0.73,0.76,0.045899999999999996
2022-11-09 11:00:00-05:00,2.13,1.99,-0.0674
2022-08-04 10:00:00-04:00,1.53,1.62,0.0571
2022-05-05 10:00:00-04:00,-0.16,-0.12,0.2416
2022-02-24 11:00:00-05:00,0.29,0.92,2.1875
2021-11-09 11:00:00-05:00,1.67,1.28,-0.2346
2021-08-05 10:00:00-04:00,0.25,1.59,5.2913
2021-05-06 10:00:00-04:00,-0.77,-0.57,0.2566
2021-02-25 11:00:00-05:00,-0.69,-0.58,0.1555
