Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-08 16:00:00-05:00,0.1,0.13,0.284
2023-10-30 07:00:00-04:00,0.08,0.12,0.4595
2023-07-27 16:00:00-04:00,0.11,0.09,-0.16
2023-04-27 14:00:00-04:00,0.09,0.22,1.5494999999999999
2023-02-07 16:00:00-05:00,0.1,0.01,-0.9037999999999999
2022-11-01 16:00:00-04:00,0.11,0.65,4.977
2022-08-02 16:00:00-04:00,0.1,0.13,0.23260000000000003
2022-05-03 16:00:00-04:00,0.1,0.13,0.3
2022-02-08 17:00:00-05:00,0.08,0.05,-0.4068
2021-11-02 16:00:00-04:00,0.1,0.1,0.0227
2021-08-03 16:00:00-04:00,0.18,0.19,0.039
2021-05-04 16:00:00-04:00,0.09,0.27,1.859
