Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-07 06:00:00-05:00,0.47,0.31,-0.34390000000000004
2023-11-08 06:00:00-05:00,0.58,0.51,-0.12369999999999999
2023-08-02 06:00:00-04:00,0.46,0.98,1.146
2023-05-03 06:00:00-04:00,0.43,0.32,-0.24800000000000003
2023-02-07 06:00:00-05:00,0.38,0.34,-0.10189999999999999
2022-11-04 06:00:00-04:00,0.51,0.53,0.0334
2022-08-05 06:00:00-04:00,-0.07,0.08,2.1077000000000004
2022-05-05 07:00:00-04:00,-0.06,-0.13,-1.3381
2022-02-04 06:00:00-05:00,-0.24,-0.38,-0.551
2021-11-10 06:00:00-05:00,-0.59,-0.24,0.5952000000000001
2021-08-05 07:00:00-04:00,0.17,-0.53,-4.187
2021-05-06 06:00:00-04:00,0.56,1.15,1.058
