Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2023-05-05 08:00:00-04:00,0.5,0.38,-0.2323
2023-03-14 11:00:00-04:00,0.55,0.77,0.40850000000000003
2022-11-08 00:00:00-05:00,0.95,0.82,-0.1399
2022-09-06 16:00:00-04:00,1.18,1.28,0.08779999999999999
2022-05-06 17:00:00-04:00,0.54,0.82,0.5185000000000001
2022-02-25 18:00:00-05:00,0.64,-0.21,-1.3307
2021-11-04 08:00:00-04:00,0.33,1.02,2.0909
2021-08-06 08:00:00-04:00,0.36,1.01,1.8056
2021-05-07 08:00:00-04:00,0.27,-0.03,-1.1111
2021-02-26 08:00:00-05:00,0.1,-2.66,-27.6
