Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-28 16:00:00-05:00,0.17,0.26,0.5115999999999999
2023-11-08 16:00:00-05:00,-0.11,0.06,1.5556
2023-08-08 16:00:00-04:00,-0.19,0.08,1.4211000000000003
2023-05-09 16:00:00-04:00,-0.23,-0.06,0.7363
2023-02-28 16:00:00-05:00,-0.53,-0.35,0.3396
2022-11-10 16:00:00-05:00,-0.55,-0.46,0.1568
2022-08-04 16:00:00-04:00,-0.52,-0.38,0.2629
2022-05-12 16:00:00-04:00,-0.57,-0.31,0.4561
2022-03-03 16:00:00-05:00,-0.68,-0.46,0.3285
2021-11-10 16:00:00-05:00,-0.96,-0.98,-0.025400000000000002
