Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2023-10-16 21:00:00-04:00,0.07,0.08,0.1182
2023-04-17 21:00:00-04:00,0.06,0.1,0.7273000000000001
2023-01-19 22:00:00-05:00,0.21,0.21,0.0067
2022-10-19 21:00:00-04:00,0.16,0.16,-0.0171
2022-07-13 21:00:00-04:00,0.16,0.14,-0.1402
2022-04-13 21:00:00-04:00,0.15,0.1,-0.3185
2022-01-24 21:00:00-05:00,0.24,0.37,0.4922
2021-10-18 22:00:00-04:00,0.19,0.21,0.0876
2021-07-15 21:00:00-04:00,0.16,0.14,-0.111
2021-04-20 22:00:00-04:00,0.14,0.12,-0.10300000000000001
2021-01-28 22:00:00-05:00,0.21,0.27,0.2696
2020-10-20 21:00:00-04:00,0.16,0.2,0.2141
