Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2023-11-06 01:00:00-05:00,0.05,-0.26,-6.5225
2023-08-08 03:00:00-04:00,0.29,0.31,0.08140000000000001
2023-05-08 02:00:00-04:00,0.36,0.35,-0.0173
2023-02-23 01:00:00-05:00,0.47,1.47,2.1057
2022-11-02 02:00:00-04:00,0.56,0.65,0.1567
2022-08-03 02:00:00-04:00,0.64,0.82,0.2805
2022-05-06 02:00:00-04:00,0.75,0.68,-0.09029999999999999
2022-02-24 01:00:00-05:00,0.87,0.86,-0.011899999999999999
2021-11-04 02:00:00-04:00,0.91,0.88,-0.0282
2021-08-09 02:00:00-04:00,0.89,1.06,0.19579999999999997
2021-04-29 02:00:00-04:00,0.81,0.99,0.22100000000000003
2021-02-22 01:00:00-05:00,0.75,1.25,0.6627
