Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2023-11-02 02:00:00-04:00,1.23,1.3,0.057999999999999996
2023-08-03 02:00:00-04:00,1.01,1.25,0.2316
2023-05-04 02:00:00-04:00,0.9,0.91,0.010700000000000001
2023-02-02 01:00:00-05:00,1.22,1.27,0.0438
2022-11-03 02:00:00-04:00,0.99,1.28,0.28750000000000003
2022-08-04 02:00:00-04:00,0.58,0.22,-0.6202000000000001
2022-05-05 03:00:00-04:00,0.61,0.63,0.033100000000000004
2022-02-03 01:00:00-05:00,0.55,0.56,0.0113
2021-11-04 02:00:00-04:00,0.37,0.38,0.0213
2021-08-05 02:00:00-04:00,0.67,0.6,-0.1057
