,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.244,0.24,0.238745,0.231,0.242495
Normalized EBITDA,483900000.0,439500000.0,390400000.0,433800000.0,431900000.0
Net Income From Continuing Operation Net Minority Interest,330300000.0,298700000.0,262100000.0,298100000.0,292700000.0
Reconciled Depreciation,45100000.0,44700000.0,44400000.0,44400000.0,43700000.0
Reconciled Cost Of Revenue,1137500000.0,1075500000.0,1006300000.0,1051600000.0,1052700000.0
EBITDA,483900000.0,439500000.0,390400000.0,433800000.0,431900000.0
EBIT,438800000.0,394800000.0,346000000.0,389400000.0,388200000.0
Net Interest Income,500000.0,-800000.0,-500000.0,-500000.0,-500000.0
Interest Expense,2200000.0,1700000.0,1700000.0,1800000.0,1800000.0
Interest Income,2700000.0,900000.0,1200000.0,1300000.0,1300000.0
Normalized Income,330300000.0,298700000.0,262100000.0,298100000.0,292700000.0
Net Income From Continuing And Discontinued Operation,330300000.0,298700000.0,262100000.0,298100000.0,292700000.0
Total Expenses,1644200000.0,1565500000.0,1479700000.0,1522100000.0,1529300000.0
Total Operating Income As Reported,436100000.0,393900000.0,344800000.0,388100000.0,386900000.0
Diluted Average Shares,1150100000.0,1149600000.0,1149400000.0,1148367322.0,1148200000.0
Basic Average Shares,1147500000.0,1147000000.0,1146400000.0,1145470410.0,1145200000.0
Diluted EPS,0.29,0.26,0.23,0.26,0.25
Basic EPS,0.29,0.26,0.23,0.26,0.26
Diluted NI Availto Com Stockholders,330300000.0,298700000.0,262100000.0,298100000.0,292700000.0
Net Income Common Stockholders,330300000.0,298700000.0,262100000.0,298100000.0,292700000.0
Net Income,330300000.0,298700000.0,262100000.0,298100000.0,292700000.0
Net Income Including Noncontrolling Interests,330300000.0,298700000.0,262100000.0,298100000.0,292700000.0
Net Income Continuous Operations,330300000.0,298700000.0,262100000.0,298100000.0,292700000.0
Tax Provision,106300000.0,94400000.0,82200000.0,89500000.0,93700000.0
Pretax Income,436600000.0,393100000.0,344300000.0,387600000.0,386400000.0
Net Non Operating Interest Income Expense,500000.0,-800000.0,-500000.0,-500000.0,-500000.0
Interest Expense Non Operating,2200000.0,1700000.0,1700000.0,1800000.0,1800000.0
Interest Income Non Operating,2700000.0,900000.0,1200000.0,1300000.0,1300000.0
Operating Income,436100000.0,393900000.0,344800000.0,388100000.0,386900000.0
Operating Expense,506700000.0,490000000.0,473400000.0,470500000.0,476600000.0
Selling General And Administration,506700000.0,490000000.0,473400000.0,470500000.0,476600000.0
Gross Profit,942800000.0,883900000.0,818200000.0,858600000.0,863500000.0
Cost Of Revenue,1137500000.0,1075500000.0,1006300000.0,1051600000.0,1052700000.0
Total Revenue,2080300000.0,1959400000.0,1824500000.0,1910200000.0,1916200000.0
Operating Revenue,2080300000.0,1959400000.0,1824500000.0,1910200000.0,1916200000.0
