,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.252966,0.254,0.154596,0.237,0.263594
Normalized EBITDA,72966000.0,68604000.0,57140000.0,65980000.0,64673000.0
Net Income From Continuing Operation Net Minority Interest,37587000.0,34462000.0,30104000.0,32690000.0,30932000.0
Reconciled Depreciation,15260000.0,15074000.0,15144000.0,15460000.0,15016000.0
Reconciled Cost Of Revenue,271398000.0,260548000.0,257002000.0,262209000.0,272803000.0
EBITDA,72966000.0,68604000.0,57140000.0,65980000.0,64673000.0
EBIT,57706000.0,53530000.0,41996000.0,50520000.0,49657000.0
Net Interest Income,-7391000.0,-7341000.0,-6387000.0,-7696000.0,-7653000.0
Interest Expense,7391000.0,7341000.0,6387000.0,7696000.0,7653000.0
Normalized Income,37587000.0,34462000.0,30104000.0,32690000.0,30932000.0
Net Income From Continuing And Discontinued Operation,37587000.0,34462000.0,30104000.0,32690000.0,30932000.0
Total Expenses,356524000.0,338795000.0,334424000.0,342093000.0,353868000.0
Total Operating Income As Reported,57706000.0,53530000.0,41996000.0,50520000.0,49657000.0
Diluted Average Shares,42575000.0,42469000.0,42454000.0,42429000.0,42398000.0
Basic Average Shares,42246000.0,42197000.0,42163000.0,42159000.0,42154000.0
Diluted EPS,0.88,0.81,0.71,0.77,0.73
Basic EPS,0.89,0.82,0.71,0.78,0.73
Diluted NI Availto Com Stockholders,37587000.0,34462000.0,30104000.0,32690000.0,30932000.0
Net Income Common Stockholders,37587000.0,34462000.0,30104000.0,32690000.0,30932000.0
Net Income,37587000.0,34462000.0,30104000.0,32690000.0,30932000.0
Net Income Including Noncontrolling Interests,37587000.0,34462000.0,30104000.0,32690000.0,30932000.0
Net Income Continuous Operations,37587000.0,34462000.0,30104000.0,32690000.0,30932000.0
Tax Provision,12728000.0,11727000.0,5505000.0,10134000.0,11072000.0
Pretax Income,50315000.0,46189000.0,35609000.0,42824000.0,42004000.0
Net Non Operating Interest Income Expense,-7391000.0,-7341000.0,-6387000.0,-7696000.0,-7653000.0
Interest Expense Non Operating,7391000.0,7341000.0,6387000.0,7696000.0,7653000.0
Operating Income,57706000.0,53530000.0,41996000.0,50520000.0,49657000.0
Operating Expense,85126000.0,78247000.0,77422000.0,79884000.0,81065000.0
Selling General And Administration,85126000.0,78247000.0,77422000.0,79884000.0,81065000.0
Gross Profit,142832000.0,131777000.0,119418000.0,130404000.0,130722000.0
Cost Of Revenue,271398000.0,260548000.0,257002000.0,262209000.0,272803000.0
Total Revenue,414230000.0,392325000.0,376420000.0,392613000.0,403525000.0
Operating Revenue,414230000.0,392325000.0,376420000.0,392613000.0,403525000.0
