,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30,2024-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.2522,0.238699,0.244201,0.2497,0.234,
Normalized EBITDA,769276000.0,901761000.0,773941000.0,828110000.0,763517000.0,
Net Income From Continuing Operation Net Minority Interest,479249000.0,586784000.0,488808000.0,527148000.0,487990000.0,
Reconciled Depreciation,115938000.0,117204000.0,111803000.0,108595000.0,109186000.0,
Reconciled Cost Of Revenue,3581366000.0,4343622000.0,3634283000.0,3791929000.0,3490672000.0,
EBITDA,769276000.0,901761000.0,773941000.0,828110000.0,763517000.0,
EBIT,653338000.0,784557000.0,662138000.0,719515000.0,654331000.0,
Net Interest Income,34409000.0,39741000.0,42527000.0,43350000.0,45950000.0,
Interest Expense,12459000.0,13792000.0,15395000.0,16932000.0,17268000.0,
Interest Income,46868000.0,53533000.0,57922000.0,60282000.0,63218000.0,
Normalized Income,479249000.0,586784000.0,488808000.0,527148000.0,487990000.0,
Net Income From Continuing And Discontinued Operation,479249000.0,586784000.0,488808000.0,527148000.0,487990000.0,
Total Expenses,4378501000.0,5181255000.0,4467138000.0,4628286000.0,4266954000.0,
Total Operating Income As Reported,606470000.0,,,,591113000.0,
Diluted Average Shares,327005000.0,,329937000.0,331511000.0,333737000.0,335018000.0
Basic Average Shares,324877000.0,,327710000.0,329392000.0,331258000.0,332399000.0
Diluted EPS,1.47,,1.48,1.59,1.46,1.82
Basic EPS,1.48,,1.49,1.6,1.47,1.83
Diluted NI Availto Com Stockholders,479249000.0,586784000.0,488808000.0,527148000.0,487990000.0,
Net Income Common Stockholders,479249000.0,586784000.0,488808000.0,527148000.0,487990000.0,
Net Income,479249000.0,586784000.0,488808000.0,527148000.0,487990000.0,
Net Income Including Noncontrolling Interests,479249000.0,586784000.0,488808000.0,527148000.0,487990000.0,
Net Income Continuous Operations,479249000.0,586784000.0,488808000.0,527148000.0,487990000.0,
Tax Provision,161630000.0,183981000.0,157935000.0,175435000.0,149073000.0,
Pretax Income,640879000.0,770765000.0,646743000.0,702583000.0,637063000.0,
Net Non Operating Interest Income Expense,34409000.0,39741000.0,42527000.0,43350000.0,45950000.0,
Interest Expense Non Operating,12459000.0,13792000.0,15395000.0,16932000.0,17268000.0,
Interest Income Non Operating,46868000.0,53533000.0,57922000.0,60282000.0,63218000.0,
Operating Income,606470000.0,731024000.0,604216000.0,659233000.0,591113000.0,
Operating Expense,797135000.0,837633000.0,832855000.0,836357000.0,776282000.0,
Selling General And Administration,797135000.0,837633000.0,832855000.0,836357000.0,776282000.0,
Gross Profit,1403605000.0,1568657000.0,1437071000.0,1495590000.0,1367395000.0,
Cost Of Revenue,3581366000.0,4343622000.0,3634283000.0,3791929000.0,3490672000.0,
Total Revenue,4984971000.0,5912279000.0,5071354000.0,5287519000.0,4858067000.0,
Operating Revenue,4984971000.0,5912279000.0,5071354000.0,5287519000.0,4858067000.0,
