,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.239144,0.073,0.092087,0.21,0.21,
Normalized EBITDA,10512000.0,9835000.0,12831000.0,12956000.0,1749000.0,
Net Income From Continuing Operation Net Minority Interest,7219000.0,7787000.0,10296000.0,17389000.0,-14000.0,
Reconciled Depreciation,1601000.0,1563000.0,1577000.0,1535000.0,1418000.0,
Reconciled Cost Of Revenue,35370000.0,35092000.0,32423000.0,30893000.0,23202000.0,
EBITDA,10512000.0,9835000.0,12831000.0,12956000.0,1749000.0,
EBIT,8911000.0,8272000.0,11254000.0,11421000.0,331000.0,
Net Interest Income,577000.0,127000.0,94000.0,26000.0,-55000.0,
Interest Income,,127000.0,,,,84000.0
Normalized Income,7219000.0,7787000.0,10296000.0,17389000.0,-14000.0,
Net Income From Continuing And Discontinued Operation,7219000.0,7787000.0,10296000.0,17389000.0,-14000.0,
Total Expenses,49482000.0,50072000.0,47926000.0,40803000.0,32222000.0,
Diluted Average Shares,,34951000.0,33625000.0,34007000.0,28878000.0,32239000.0
Basic Average Shares,,31434000.0,30027000.0,28994000.0,28878000.0,28753000.0
Diluted EPS,,0.22,0.31,0.51,-0.000485,0.03
Basic EPS,,0.25,0.34,0.6,-0.000485,0.03
Diluted NI Availto Com Stockholders,7219000.0,7787000.0,10296000.0,17389000.0,-14000.0,
Net Income Common Stockholders,7219000.0,7787000.0,10296000.0,17389000.0,-14000.0,
Net Income,7219000.0,7787000.0,10296000.0,17389000.0,-14000.0,
Minority Interests,0.0,0.0,-7000.0,-2000.0,-5000.0,
Net Income Including Noncontrolling Interests,7219000.0,7787000.0,10303000.0,17391000.0,-9000.0,
Net Income Continuous Operations,7219000.0,7787000.0,10303000.0,17391000.0,-9000.0,
Tax Provision,2269000.0,612000.0,1045000.0,-5944000.0,285000.0,
Pretax Income,9488000.0,8399000.0,11348000.0,11447000.0,276000.0,
Net Non Operating Interest Income Expense,577000.0,127000.0,94000.0,26000.0,-55000.0,
Total Other Finance Cost,-577000.0,,-94000.0,-26000.0,55000.0,-84000.0
Interest Income Non Operating,,127000.0,,,,84000.0
Operating Income,8911000.0,8272000.0,11254000.0,11421000.0,331000.0,
Operating Expense,14112000.0,14980000.0,15503000.0,9910000.0,9020000.0,
Selling General And Administration,14112000.0,14980000.0,15503000.0,9910000.0,9020000.0,
Gross Profit,23023000.0,23252000.0,26757000.0,21331000.0,9351000.0,
Cost Of Revenue,35370000.0,35092000.0,32423000.0,30893000.0,23202000.0,
Total Revenue,58393000.0,58344000.0,59180000.0,52224000.0,32553000.0,
Operating Revenue,58393000.0,58344000.0,59180000.0,52224000.0,32553000.0,
