,2025-04-30,2025-01-31,2024-04-30,2024-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.21,0.00121,0.21
Normalized EBITDA,-47413000.0,-18070000.0,-16874000.0,-16591000.0
Net Income From Continuing Operation Net Minority Interest,-52053000.0,-21509000.0,-22284000.0,-21619000.0
Reconciled Depreciation,1836000.0,1888000.0,3502000.0,3363000.0
Reconciled Cost Of Revenue,9600000.0,8543000.0,8657000.0,7397000.0
EBITDA,-47413000.0,-18070000.0,-16874000.0,-16591000.0
EBIT,-49249000.0,-19958000.0,-20376000.0,-19954000.0
Net Interest Income,-104000.0,-1155000.0,-1935000.0,-1651000.0
Interest Expense,1760000.0,1783000.0,1935000.0,1651000.0
Interest Income,1656000.0,628000.0,,0.0
Normalized Income,-52053000.0,-21509000.0,-22284000.0,-21619000.0
Net Income From Continuing And Discontinued Operation,-52053000.0,-21509000.0,-22284000.0,-21619000.0
Total Expenses,65445000.0,35691000.0,30403000.0,28223000.0
Total Operating Income As Reported,-48212000.0,-20601000.0,-20349000.0,-19946000.0
Diluted Average Shares,,49533819.0,,49533819.0
Basic Average Shares,,49533819.0,,49533819.0
Diluted EPS,,-0.501334,,-0.47303
Basic EPS,,-0.501334,,-0.47303
Diluted NI Availto Com Stockholders,-55344000.0,-24833000.0,-24278000.0,-23431000.0
Net Income Common Stockholders,-55344000.0,-24833000.0,-24278000.0,-23431000.0
Preferred Stock Dividends,3291000.0,3324000.0,1994000.0,1812000.0
Net Income,-52053000.0,-21509000.0,-22284000.0,-21619000.0
Minority Interests,,250000.0,,0.0
Net Income Including Noncontrolling Interests,-51111000.0,-21759000.0,-22284000.0,-21619000.0
Net Income Continuous Operations,-51111000.0,-21759000.0,-22284000.0,-21619000.0
Tax Provision,102000.0,18000.0,-27000.0,14000.0
Pretax Income,-51009000.0,-21741000.0,-22311000.0,-21605000.0
Other Income Expense,-2693000.0,15000.0,-27000.0,-8000.0
Other Non Operating Income Expenses,-45000.0,15000.0,-27000.0,-8000.0
Net Non Operating Interest Income Expense,-104000.0,-1155000.0,-1935000.0,-1651000.0
Interest Expense Non Operating,1760000.0,1783000.0,1935000.0,1651000.0
Interest Income Non Operating,1656000.0,628000.0,,0.0
Operating Income,-48212000.0,-20601000.0,-20349000.0,-19946000.0
Operating Expense,55845000.0,27148000.0,21746000.0,20826000.0
Research And Development,5386000.0,3353000.0,3821000.0,3735000.0
Selling General And Administration,50459000.0,23795000.0,17925000.0,17091000.0
Gross Profit,7633000.0,6547000.0,1397000.0,880000.0
Cost Of Revenue,9600000.0,8543000.0,8657000.0,7397000.0
Total Revenue,17233000.0,15090000.0,10054000.0,8277000.0
Operating Revenue,17233000.0,15090000.0,10054000.0,8277000.0
