,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-38506892.895016,41961000.0,327402.135231,-27709000.0,6596858.638743,,
Tax Rate For Calcs,0.216331,0.213,0.081851,0.229,0.219895,,
Normalized EBITDA,2434000000.0,2825000000.0,2758000000.0,1793000000.0,1635000000.0,,
Total Unusual Items,-178000000.0,197000000.0,4000000.0,-121000000.0,30000000.0,,
Total Unusual Items Excluding Goodwill,-178000000.0,197000000.0,4000000.0,-121000000.0,30000000.0,,
Net Income From Continuing Operation Net Minority Interest,699000000.0,1405000000.0,1074000000.0,659000000.0,837000000.0,,
Reconciled Depreciation,1257000000.0,1088000000.0,1170000000.0,736000000.0,475000000.0,,
Reconciled Cost Of Revenue,2387000000.0,2217000000.0,2176000000.0,1587000000.0,1260000000.0,,
EBITDA,2256000000.0,3022000000.0,2762000000.0,1672000000.0,1665000000.0,,
EBIT,999000000.0,1934000000.0,1592000000.0,936000000.0,1190000000.0,,
Net Interest Income,-56000000.0,-40000000.0,-34000000.0,-18000000.0,-44000000.0,,
Interest Expense,56000000.0,40000000.0,187000000.0,18000000.0,44000000.0,,
Normalized Income,838493107.104984,1249961000.0,1070327402.135231,752291000.0,813596858.638743,,
Net Income From Continuing And Discontinued Operation,699000000.0,1405000000.0,1074000000.0,659000000.0,837000000.0,,
Total Expenses,2472000000.0,2321000000.0,2254000000.0,1668000000.0,1316000000.0,,
Total Operating Income As Reported,1139000000.0,1673000000.0,1412000000.0,710000000.0,1156000000.0,,
Diluted Average Shares,292135000.0,289612000.0,291851000.0,204730000.0,178360000.0,,
Basic Average Shares,292135000.0,289612000.0,291851000.0,204730000.0,178360000.0,,
Diluted EPS,2.38,4.83,3.67,3.19,4.66,,
Basic EPS,2.38,4.83,3.67,3.19,4.66,,
Diluted NI Availto Com Stockholders,699000000.0,1405000000.0,1074000000.0,659000000.0,837000000.0,,
Net Income Common Stockholders,699000000.0,1405000000.0,1074000000.0,659000000.0,837000000.0,,
Otherunder Preferred Stock Dividend,,,,,6000000.0,,
Net Income,699000000.0,1405000000.0,1074000000.0,659000000.0,837000000.0,,
Minority Interests,-40000000.0,-86000000.0,-216000000.0,-49000000.0,-57000000.0,,
Net Income Including Noncontrolling Interests,739000000.0,1491000000.0,1290000000.0,708000000.0,894000000.0,,
Net Income Continuous Operations,739000000.0,1491000000.0,1290000000.0,708000000.0,894000000.0,,
Tax Provision,204000000.0,403000000.0,115000000.0,210000000.0,252000000.0,,
Pretax Income,943000000.0,1894000000.0,1405000000.0,918000000.0,1146000000.0,,
Other Income Expense,-180000000.0,224000000.0,-3000000.0,-32000000.0,31000000.0,,
Other Non Operating Income Expenses,-2000000.0,27000000.0,-7000000.0,89000000.0,1000000.0,,
Special Income Charges,15000000.0,-37000000.0,-30000000.0,-258000000.0,-3000000.0,,
Other Special Charges,-55000000.0,,0.0,,,-2000000.0,0.0
Restructuring And Mergern Acquisition,40000000.0,37000000.0,30000000.0,258000000.0,3000000.0,,
Gain On Sale Of Security,-193000000.0,234000000.0,34000000.0,137000000.0,33000000.0,,
Net Non Operating Interest Income Expense,-56000000.0,-40000000.0,-34000000.0,-18000000.0,-44000000.0,,
Interest Expense Non Operating,56000000.0,40000000.0,187000000.0,18000000.0,44000000.0,,
Operating Income,1179000000.0,1710000000.0,1442000000.0,968000000.0,1157000000.0,,
Operating Expense,85000000.0,104000000.0,78000000.0,81000000.0,56000000.0,,
Other Operating Expenses,18000000.0,31000000.0,6000000.0,32000000.0,10000000.0,,
Selling General And Administration,67000000.0,73000000.0,72000000.0,49000000.0,46000000.0,,
General And Administrative Expense,67000000.0,73000000.0,72000000.0,49000000.0,46000000.0,,
Other Gand A,46000000.0,55000000.0,56000000.0,33000000.0,46000000.0,,
Salaries And Wages,21000000.0,18000000.0,16000000.0,16000000.0,19000000.0,,
Gross Profit,1264000000.0,1814000000.0,1520000000.0,1049000000.0,1213000000.0,,
Cost Of Revenue,2387000000.0,2217000000.0,2176000000.0,1587000000.0,1260000000.0,,
Total Revenue,3651000000.0,4031000000.0,3696000000.0,2636000000.0,2473000000.0,,
Operating Revenue,3651000000.0,4031000000.0,3696000000.0,2636000000.0,2473000000.0,,
