,2024-09-30,2024-06-30,2024-03-31,2023-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.21,0.21,0.0
Normalized EBITDA,-200019.0,-309114.0,-153632.0,0.0
Net Income From Continuing Operation Net Minority Interest,743510.0,609092.0,755500.0,0.0
EBITDA,-200019.0,-309114.0,-153632.0,0.0
EBIT,-200019.0,-309114.0,-153632.0,0.0
Net Interest Income,943529.0,918206.0,909132.0,0.0
Interest Income,943529.0,918206.0,909132.0,0.0
Normalized Income,743510.0,609092.0,755500.0,0.0
Net Income From Continuing And Discontinued Operation,743510.0,609092.0,755500.0,0.0
Total Expenses,200019.0,309114.0,153632.0,0.0
Diluted Average Shares,9026000.0,6900000.0,9026000.0,7865000.0
Basic Average Shares,2126000.0,2126000.0,2126000.0,7865000.0
Diluted EPS,0.08,0.07,0.08,0.0
Basic EPS,0.08,0.07,0.08,0.0
Diluted NI Availto Com Stockholders,743510.0,609092.0,755500.0,0.0
Net Income Common Stockholders,743510.0,609092.0,755500.0,0.0
Net Income,743510.0,609092.0,755500.0,0.0
Net Income Including Noncontrolling Interests,743510.0,609092.0,755500.0,0.0
Net Income Continuous Operations,743510.0,609092.0,755500.0,0.0
Pretax Income,743510.0,609092.0,755500.0,0.0
Net Non Operating Interest Income Expense,943529.0,918206.0,909132.0,0.0
Interest Income Non Operating,943529.0,918206.0,909132.0,0.0
Operating Income,-200019.0,-309114.0,-153632.0,0.0
Operating Expense,200019.0,309114.0,153632.0,0.0
Other Operating Expenses,200019.0,309114.0,153632.0,
Total Revenue,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0
