,2025-05-31,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.007801,0.21,0.01817,0.020672,0.057154,
Net Income From Continuing Operation Net Minority Interest,13932263.0,-676762.0,8834942.0,13317639.0,6610438.0,
Net Interest Income,17579272.0,16272551.0,19344392.0,27907242.0,21969026.0,
Interest Expense,12451865.0,12924023.0,13044000.0,13128941.0,12962081.0,
Interest Income,30031137.0,29196574.0,32388392.0,41036183.0,34931107.0,
Normalized Income,13932263.0,-676762.0,8834942.0,13317639.0,6610438.0,
Net Income From Continuing And Discontinued Operation,13932263.0,-676762.0,8834942.0,13317639.0,6610438.0,
Diluted Average Shares,15344510.0,,13789951.0,13726142.0,13683314.0,13621138.0
Basic Average Shares,15344510.0,,13789951.0,13726142.0,13683314.0,13621138.0
Diluted EPS,0.91,,0.64,0.97,0.48,0.39
Basic EPS,0.91,,0.64,0.97,0.48,0.39
Diluted NI Availto Com Stockholders,13932263.0,-676762.0,8834942.0,13317639.0,6610438.0,
Net Income Common Stockholders,13932263.0,-676762.0,8834942.0,13317639.0,6610438.0,
Net Income,13932263.0,-676762.0,8834942.0,13317639.0,6610438.0,
Net Income Including Noncontrolling Interests,13932263.0,-676762.0,8834942.0,13317639.0,6610438.0,
Net Income Continuous Operations,13932263.0,-676762.0,8834942.0,13317639.0,6610438.0,
Tax Provision,109539.0,3034107.0,163500.0,281108.0,400718.0,
Pretax Income,14041802.0,2357345.0,8998442.0,13598747.0,7011156.0,
Gain On Sale Of Security,2901339.0,7169655.0,5444745.0,-33448727.0,-21194997.0,
Operating Expense,2800421.0,2185785.0,2840521.0,2238400.0,2874033.0,
Other Operating Expenses,,,,,,0.0
Selling General And Administration,2800421.0,1385333.0,2840521.0,2238400.0,2874033.0,
General And Administrative Expense,2800421.0,1385333.0,2840521.0,2238400.0,2874033.0,
Total Revenue,16842223.0,4543130.0,11838963.0,15837147.0,9885189.0,
Operating Revenue,16842223.0,4543130.0,11838963.0,15837147.0,9885189.0,
