,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-4482023.830352,-12528439.159335,-26752969.801084,26631230.529578,-20100464.195511,,
Tax Rate For Calcs,0.203202,0.204389,0.19692,0.18911,0.210318,,
Normalized EBITDA,906584000.0,1098097000.0,1015416000.0,948846000.0,983688000.0,,
Total Unusual Items,-22057000.0,-61297000.0,-135857000.0,140824000.0,-95572000.0,,
Total Unusual Items Excluding Goodwill,-22057000.0,-61297000.0,-135857000.0,140824000.0,-95572000.0,,
Net Income From Continuing Operation Net Minority Interest,207137000.0,329298000.0,216650000.0,386376000.0,235100000.0,,
Reconciled Depreciation,506410000.0,474203000.0,486463000.0,453603000.0,426428000.0,,
Reconciled Cost Of Revenue,750136000.0,700480000.0,720620000.0,677078000.0,629844000.0,,
EBITDA,884527000.0,1036800000.0,879559000.0,1089670000.0,888116000.0,,
EBIT,378117000.0,562597000.0,393096000.0,636067000.0,461688000.0,,
Net Interest Income,-72770000.0,-73839000.0,-76783000.0,-74824000.0,-71977000.0,,
Interest Expense,70610000.0,71700000.0,74972000.0,73072000.0,70508000.0,,
Normalized Income,224711976.169648,378066560.840665,325754030.198916,272183230.529578,310571535.804489,,
Net Income From Continuing And Discontinued Operation,207137000.0,329298000.0,216650000.0,386376000.0,235100000.0,,
Total Expenses,805035000.0,758786000.0,771728000.0,727823000.0,684551000.0,,
Total Operating Income As Reported,297485000.0,504463000.0,425212000.0,395149000.0,455137000.0,,
Diluted Average Shares,746024000.0,748197000.0,746693000.0,736239000.0,656372000.0,,
Basic Average Shares,701353000.0,704035000.0,702968000.0,693692000.0,612248000.0,,
Diluted EPS,0.28,0.44,0.29,0.53,0.36,,
Basic EPS,0.3,0.47,0.31,0.56,0.38,,
Diluted NI Availto Com Stockholders,207137000.0,330581000.0,221832000.0,386376000.0,235100000.0,,
Net Income Common Stockholders,207137000.0,330581000.0,221832000.0,386376000.0,235100000.0,,
Otherunder Preferred Stock Dividend,,-1283000.0,,,,-1322000.0,-1317000.0
Net Income,207137000.0,329298000.0,216650000.0,386376000.0,235100000.0,,
Minority Interests,-37884000.0,-61265000.0,-38829000.0,-70151000.0,-73808000.0,,
Net Income Including Noncontrolling Interests,245021000.0,390563000.0,255479000.0,456527000.0,308908000.0,,
Net Income Continuous Operations,245021000.0,390563000.0,255479000.0,456527000.0,308908000.0,,
Tax Provision,62486000.0,100334000.0,62645000.0,106468000.0,82272000.0,,
Pretax Income,307507000.0,490897000.0,318124000.0,562995000.0,391180000.0,,
Other Income Expense,-12284000.0,-52929000.0,-129446000.0,150071000.0,-98375000.0,,
Other Non Operating Income Expenses,9773000.0,8368000.0,6411000.0,9247000.0,-2803000.0,,
Special Income Charges,-95076000.0,-119028000.0,-99141000.0,-97709000.0,-109870000.0,,
Gain On Sale Of Ppe,0.0,0.0,-66000.0,329000.0,0.0,,
Other Special Charges,,5826000.0,0.0,5110000.0,3475000.0,,
Impairment Of Capital Assets,146000.0,5209000.0,2128000.0,1380000.0,6384000.0,,
Restructuring And Mergern Acquisition,94930000.0,107993000.0,96947000.0,91548000.0,100011000.0,,
Gain On Sale Of Security,73019000.0,57731000.0,-36716000.0,238533000.0,14298000.0,,
Net Non Operating Interest Income Expense,-72770000.0,-73839000.0,-76783000.0,-74824000.0,-71977000.0,,
Total Other Finance Cost,2160000.0,2139000.0,1811000.0,1752000.0,1469000.0,,
Interest Expense Non Operating,70610000.0,71700000.0,74972000.0,73072000.0,70508000.0,,
Operating Income,392561000.0,617665000.0,524353000.0,487748000.0,561532000.0,,
Operating Expense,54899000.0,58306000.0,51108000.0,50745000.0,54707000.0,,
Other Operating Expenses,5060000.0,15250000.0,6363000.0,6962000.0,5978000.0,,
Selling General And Administration,49839000.0,43056000.0,44745000.0,43783000.0,48729000.0,,
General And Administrative Expense,49839000.0,43056000.0,44745000.0,43783000.0,48729000.0,,
Other Gand A,30546000.0,26857000.0,31596000.0,30246000.0,26266000.0,,
Salaries And Wages,19293000.0,16199000.0,13149000.0,13537000.0,22463000.0,,
Gross Profit,447460000.0,675971000.0,575461000.0,538493000.0,616239000.0,,
Cost Of Revenue,750136000.0,700480000.0,720620000.0,677078000.0,629844000.0,,
Total Revenue,1197596000.0,1376451000.0,1296081000.0,1215571000.0,1246083000.0,,
Operating Revenue,1197596000.0,1376451000.0,1296081000.0,1215571000.0,1246083000.0,,
