,Event Name,Earnings Call Time,EPS Estimate,Reported EPS,Surprise(%),Follow
3,Q4 2024 Earnings Release,TAS,,,,
4,Q4 2024 Earnings Release,TAS,,,,
5,Q3 2024 Earnings Release,AMC,,,,
6,Q1 2024 Earnings Release,AMC,,,,
7,Full Year 2024 Earnings Release,TNS,,,,
8,Q3 2025 Earnings Release,TNS,,,,
9,Q3 2025 Earnings Release,TNS,,,,
10,Q4 2024 Earnings Release,TAS,,,,
11,Q4 2024 Earnings Release,BMO,,,,
