GradeDate,Firm,ToGrade,FromGrade,Action
2024-08-06 16:13:42,Keybanc,Overweight,Overweight,main
2024-07-09 11:41:19,Keybanc,Overweight,Overweight,main
2024-06-27 16:04:14,UBS,Buy,Buy,main
2024-06-27 14:08:40,JP Morgan,Overweight,Overweight,main
2024-06-27 13:46:10,Goldman Sachs,Buy,Buy,main
2024-06-27 13:33:41,Wedbush,Outperform,Outperform,reit
2024-06-27 12:04:08,Rosenblatt,Buy,Buy,main
2024-06-27 11:32:56,Keybanc,Overweight,Overweight,main
2024-06-27 11:23:47,Piper Sandler,Overweight,Overweight,reit
2024-06-27 10:59:07,Needham,Buy,Buy,main
2024-06-25 11:28:20,Rosenblatt,Buy,Buy,main
2024-06-24 16:11:38,Morgan Stanley,Equal-Weight,Equal-Weight,main
2024-06-24 14:26:35,Citigroup,Buy,Buy,main
2024-06-24 11:03:08,Baird,Outperform,Outperform,main
2024-06-21 17:16:31,Raymond James,Outperform,Outperform,main
2024-06-21 15:43:57,Wolfe Research,Outperform,Outperform,main
2024-06-20 12:37:28,Wells Fargo,Overweight,Overweight,main
2024-06-18 17:51:38,Stifel,Buy,Buy,main
2024-06-18 11:58:07,Wedbush,Outperform,Outperform,main
2024-06-17 13:24:25,Cantor Fitzgerald,Overweight,Overweight,main
2024-06-17 12:23:09,Susquehanna,Positive,Positive,main
2024-06-17 10:56:04,B of A Securities,Buy,Buy,main
2024-06-10 19:08:32,UBS,Buy,Buy,main
2024-06-04 15:38:35,Goldman Sachs,Buy,Buy,main
2024-05-31 12:55:41,Mizuho,Buy,Buy,main
2024-05-20 09:22:36,Morgan Stanley,Equal-Weight,Underweight,up
2024-05-17 11:35:49,Mizuho,Buy,Buy,main
2024-05-13 18:07:25,Barclays,Overweight,Overweight,main
2024-05-06 09:24:18,Baird,Outperform,Neutral,up
2024-04-12 15:50:13,Stifel,Buy,Buy,main
2024-04-08 17:57:10,Cantor Fitzgerald,Overweight,Overweight,main
2024-04-08 12:56:36,Keybanc,Overweight,Overweight,main
2024-04-04 15:33:13,Citigroup,Buy,Buy,main
2024-04-01 14:06:30,B of A Securities,Buy,Buy,main
2024-03-26 13:03:54,Mizuho,Buy,Buy,reit
2024-03-21 17:58:59,Piper Sandler,Overweight,Overweight,main
2024-03-21 17:34:38,B of A Securities,Buy,Buy,main
2024-03-21 16:25:49,Morgan Stanley,Underweight,Underweight,main
2024-03-21 15:36:44,TD Cowen,Outperform,Outperform,main
2024-03-21 14:28:14,UBS,Buy,Buy,main
2024-03-21 13:37:06,Wedbush,Outperform,Outperform,main
2024-03-21 13:24:52,Wells Fargo,Overweight,Overweight,main
2024-03-21 13:23:17,Stifel,Buy,Buy,main
2024-03-21 13:19:23,Mizuho,Buy,Buy,main
2024-03-21 12:32:46,JP Morgan,Overweight,Overweight,main
2024-03-21 11:44:57,Argus Research,Buy,Hold,up
2024-03-21 11:03:42,Rosenblatt,Buy,Buy,main
2024-03-21 10:56:49,Needham,Buy,Buy,main
2024-03-21 08:38:23,Keybanc,Overweight,Overweight,main
2024-03-20 17:58:59,Piper Sandler,Overweight,Overweight,main
2024-03-19 12:29:49,UBS,Buy,Buy,main
2024-03-19 11:19:13,Baird,Neutral,Neutral,main
2024-03-18 13:27:14,Rosenblatt,Buy,Buy,reit
2024-03-18 10:31:32,Barclays,Overweight,Overweight,main
