,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,508090.434978,2364973.259386,-15081289.403634,0.0,-4298110.0,,
Tax Rate For Calcs,0.252279,0.249839,0.267081,0.367524,0.17,,
Normalized EBITDA,577978000.0,545227000.0,399721000.0,202415000.0,174279000.0,,
Total Unusual Items,2014000.0,9466000.0,-56467000.0,,-25283000.0,-94938000.0,
Total Unusual Items Excluding Goodwill,2014000.0,9466000.0,-56467000.0,,-25283000.0,-94938000.0,
Net Income From Continuing Operation Net Minority Interest,405972000.0,403050000.0,237308000.0,153324000.0,81864000.0,,
Reconciled Cost Of Revenue,2849667000.0,2604907000.0,2744976000.0,2467172000.0,2222051000.0,,
EBITDA,579992000.0,554693000.0,343254000.0,202415000.0,148996000.0,,
EBIT,579992000.0,554693000.0,343254000.0,202415000.0,148996000.0,,
Net Interest Income,81285000.0,79742000.0,84689000.0,,81697000.0,77397000.0,
Interest Expense,8974000.0,9081000.0,9281000.0,,9688000.0,9718000.0,
Interest Income,90259000.0,88823000.0,93970000.0,,91385000.0,87115000.0,
Normalized Income,404466090.434978,395948973.259386,278693710.596366,153324000.0,102848890.0,,
Net Income From Continuing And Discontinued Operation,405972000.0,403050000.0,237308000.0,153324000.0,81864000.0,,
Total Expenses,4771758000.0,4384696000.0,4644685000.0,4125818000.0,3723974000.0,,
Total Operating Income As Reported,487719000.0,456404000.0,305751000.0,202415000.0,82894000.0,,
Diluted Average Shares,,634637711.0,610136776.0,638850000.0,,570937761.0,569527667.0
Basic Average Shares,,590286824.0,580046457.0,589707692.0,,570937761.0,569527667.0
Diluted EPS,,0.65,0.39,0.24,,-0.04,-0.19
Basic EPS,,0.68,0.41,0.26,,-0.04,-0.19
Diluted NI Availto Com Stockholders,405972000.0,403050000.0,237308000.0,153324000.0,81864000.0,,
Net Income Common Stockholders,405972000.0,403050000.0,237308000.0,153324000.0,81864000.0,,
Net Income,405972000.0,403050000.0,237308000.0,153324000.0,81864000.0,,
Minority Interests,-8232000.0,-7775000.0,-284000.0,,1953000.0,-663000.0,
Net Income Including Noncontrolling Interests,414204000.0,410825000.0,237592000.0,153324000.0,79911000.0,,
Net Income Continuous Operations,414204000.0,410825000.0,237592000.0,153324000.0,79911000.0,,
Earnings From Equity Interest Net Of Tax,-12758000.0,1528000.0,-7183000.0,-6029000.0,1215000.0,,
Tax Provision,144056000.0,136315000.0,89198000.0,92598000.0,60612000.0,,
Pretax Income,571018000.0,545612000.0,333973000.0,251951000.0,139308000.0,,
Other Income Expense,2014000.0,9466000.0,-56467000.0,49536000.0,-25283000.0,,
Other Non Operating Income Expenses,,,,49536000.0,,,
Special Income Charges,5086000.0,10602000.0,8206000.0,,4897000.0,27112000.0,
Other Special Charges,-5086000.0,-10602000.0,-8206000.0,,-4897000.0,-27112000.0,
Impairment Of Capital Assets,,,0.0,,0.0,0.0,0.0
Gain On Sale Of Security,-3072000.0,-1136000.0,-64673000.0,,-30180000.0,-122050000.0,
Net Non Operating Interest Income Expense,81285000.0,79742000.0,84689000.0,,81697000.0,77397000.0,
Interest Expense Non Operating,8974000.0,9081000.0,9281000.0,,9688000.0,9718000.0,
Interest Income Non Operating,90259000.0,88823000.0,93970000.0,,91385000.0,87115000.0,
Operating Income,487719000.0,456404000.0,305751000.0,202415000.0,82894000.0,,
Operating Expense,1922091000.0,1779789000.0,1899709000.0,1658646000.0,1501923000.0,,
Other Operating Expenses,-31903000.0,-34901000.0,-53256000.0,-40647000.0,-42563000.0,,
Provision For Doubtful Accounts,323729000.0,281944000.0,235764000.0,211991000.0,167415000.0,,
Research And Development,297428000.0,295858000.0,301216000.0,301990000.0,298465000.0,,
Selling General And Administration,1332837000.0,1236888000.0,1415985000.0,1185312000.0,1078606000.0,,
Selling And Marketing Expense,1009495000.0,929699000.0,1049726000.0,878557000.0,774768000.0,,
General And Administrative Expense,323342000.0,307189000.0,366259000.0,306755000.0,303838000.0,,
Other Gand A,323342000.0,307189000.0,366259000.0,306755000.0,303838000.0,,
Gross Profit,2409810000.0,2236193000.0,2205460000.0,1861061000.0,1584817000.0,,
Cost Of Revenue,2849667000.0,2604907000.0,2744976000.0,2467172000.0,2222051000.0,,
Total Revenue,5259477000.0,4841100000.0,4950436000.0,4328233000.0,3806868000.0,,
Operating Revenue,5259477000.0,4841100000.0,4950436000.0,4328233000.0,3806868000.0,,
