,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,352.610383,55927.703628
Tax Rate For Calcs,0.002227,0.008356
Normalized EBITDA,-98475361.0,-68793000.0
Total Unusual Items,158308.0,6693000.0
Total Unusual Items Excluding Goodwill,158308.0,6693000.0
Net Income From Continuing Operation Net Minority Interest,-104980798.0,-69542000.0
Reconciled Cost Of Revenue,17507142.0,34680000.0
EBITDA,-98317053.0,-62100000.0
EBIT,-98317053.0,-62100000.0
Net Interest Income,-4940478.0,-8028000.0
Interest Expense,6898098.0,8028000.0
Normalized Income,-105138753.389617,-76179072.296372
Net Income From Continuing And Discontinued Operation,-104980798.0,-69542000.0
Total Expenses,196869510.0,244854000.0
Total Operating Income As Reported,-113204615.0,-70054000.0
Diluted Average Shares,,93058197.0
Basic Average Shares,,93058197.0
Diluted EPS,,-0.747296
Basic EPS,,-0.747296
Diluted NI Availto Com Stockholders,-104980798.0,-69542000.0
Net Income Common Stockholders,-104980798.0,-69542000.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,-104980798.0,-69542000.0
Net Income Including Noncontrolling Interests,-104980798.0,-69542000.0
Net Income From Tax Loss Carryforward,,0.0
Net Income Continuous Operations,-104980798.0,-69542000.0
Tax Provision,-234353.0,-586000.0
Pretax Income,-105215151.0,-70128000.0
Other Income Expense,-223617.0,6480000.0
Other Non Operating Income Expenses,-381925.0,-213000.0
Gain On Sale Of Security,158308.0,6693000.0
Net Non Operating Interest Income Expense,-4940478.0,-8028000.0
Interest Expense Non Operating,6898098.0,8028000.0
Operating Income,-100051056.0,-68580000.0
Operating Expense,179362368.0,210174000.0
Other Operating Expenses,-13153559.0,-1474000.0
Research And Development,78213200.0,100640000.0
Selling General And Administration,114302727.0,111008000.0
Selling And Marketing Expense,78505204.0,79195000.0
General And Administrative Expense,35797523.0,31813000.0
Other Gand A,35797523.0,31813000.0
Gross Profit,79311312.0,141594000.0
Cost Of Revenue,17507142.0,34680000.0
Total Revenue,96818454.0,176274000.0
Operating Revenue,96818454.0,176274000.0
