,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,49957489.539749,-109250000.0,565250000.0,-194837414.030261,35750000.0,,
Tax Rate For Calcs,0.390293,0.25,0.25,0.396011,0.25,,
Normalized EBITDA,12385000000.0,15646000000.0,9058000000.0,14514000000.0,14138000000.0,,
Total Unusual Items,128000000.0,-437000000.0,2261000000.0,-492000000.0,143000000.0,,
Total Unusual Items Excluding Goodwill,128000000.0,-437000000.0,2261000000.0,-492000000.0,143000000.0,,
Net Income From Continuing Operation Net Minority Interest,3601000000.0,4780000000.0,928000000.0,4291000000.0,3517000000.0,,
Reconciled Depreciation,5463000000.0,5130000000.0,5829000000.0,5578000000.0,5642000000.0,,
Reconciled Cost Of Revenue,55678000000.0,56528000000.0,59447000000.0,59941000000.0,62565000000.0,,
EBITDA,12513000000.0,15209000000.0,11319000000.0,14022000000.0,14281000000.0,,
EBIT,7050000000.0,10079000000.0,5490000000.0,8444000000.0,8639000000.0,,
Net Interest Income,-474000000.0,-554000000.0,-1100000000.0,-396000000.0,-545000000.0,,
Interest Expense,1075000000.0,1120000000.0,1285000000.0,1174000000.0,1235000000.0,,
Interest Income,601000000.0,566000000.0,185000000.0,778000000.0,690000000.0,,
Normalized Income,3522957489.539749,5107750000.0,-767750000.0,4588162585.969739,3409750000.0,,
Net Income From Continuing And Discontinued Operation,3601000000.0,4780000000.0,928000000.0,4291000000.0,3517000000.0,,
Total Expenses,59393000000.0,59763000000.0,63869000000.0,63679000000.0,66418000000.0,,
Diluted Average Shares,,3043900000.0,3106950000.0,3160450000.0,3458900000.0,3252150000.0,
Basic Average Shares,,3016750000.0,3074200000.0,3128250000.0,3458900000.0,3220050000.0,
Diluted EPS,,1.58,0.3,1.36,1.1,2.26,
Basic EPS,,1.58,0.3,1.38,1.1,2.28,
Diluted NI Availto Com Stockholders,3601000000.0,4780000000.0,928000000.0,4291000000.0,3517000000.0,,
Net Income Common Stockholders,3601000000.0,4780000000.0,928000000.0,4291000000.0,3517000000.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,
Net Income,3601000000.0,4780000000.0,928000000.0,4291000000.0,3517000000.0,,
Minority Interests,-43000000.0,-95000000.0,-113000000.0,-100000000.0,-133000000.0,,
Net Income Including Noncontrolling Interests,3644000000.0,4875000000.0,1041000000.0,4391000000.0,3650000000.0,,
Net Income Continuous Operations,3644000000.0,4875000000.0,1041000000.0,4391000000.0,3650000000.0,,
Tax Provision,2332000000.0,4083000000.0,3164000000.0,2879000000.0,3754000000.0,,
Pretax Income,5975000000.0,8959000000.0,4205000000.0,7270000000.0,7404000000.0,,
Special Income Charges,128000000.0,-437000000.0,2190000000.0,-492000000.0,143000000.0,,
Other Special Charges,-128000000.0,127000000.0,,154000000.0,-143000000.0,-10000000.0,
Write Off,,,,338000000.0,,228000000.0,
Impairment Of Capital Assets,,310000000.0,,338000000.0,,228000000.0,5236000000.0
Net Non Operating Interest Income Expense,-474000000.0,-554000000.0,-1100000000.0,-396000000.0,-545000000.0,,
Total Other Finance Cost,,,,,,,-199000000.0
Interest Expense Non Operating,1075000000.0,1120000000.0,1285000000.0,1174000000.0,1235000000.0,,
Interest Income Non Operating,601000000.0,566000000.0,185000000.0,778000000.0,690000000.0,,
Operating Income,6013000000.0,9471000000.0,2412000000.0,7410000000.0,8045000000.0,,
Operating Expense,3715000000.0,3235000000.0,4422000000.0,3738000000.0,3853000000.0,,
Other Operating Expenses,360000000.0,210000000.0,860000000.0,305000000.0,496000000.0,,
Research And Development,278000000.0,185000000.0,331000000.0,294000000.0,263000000.0,,
Selling General And Administration,3077000000.0,2840000000.0,3231000000.0,3139000000.0,3094000000.0,,
General And Administrative Expense,3077000000.0,2840000000.0,3231000000.0,3139000000.0,3094000000.0,,
Gross Profit,9728000000.0,12706000000.0,6834000000.0,11148000000.0,11898000000.0,,
Cost Of Revenue,55678000000.0,56528000000.0,59447000000.0,59941000000.0,62565000000.0,,
Total Revenue,65406000000.0,69234000000.0,66281000000.0,71089000000.0,74463000000.0,,
Operating Revenue,65406000000.0,69234000000.0,66281000000.0,71089000000.0,74463000000.0,,
