,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,-2487677.0,-535613.0,-96056.0
Net Income From Continuing Operation Net Minority Interest,-1363129.0,-289708.0,-96056.0
EBITDA,-2487677.0,-535613.0,-96056.0
EBIT,-2487677.0,-535613.0,-96056.0
Net Interest Income,1124548.0,245905.0,
Interest Income,1124548.0,245905.0,
Normalized Income,-1363129.0,-289708.0,-96056.0
Net Income From Continuing And Discontinued Operation,-1363129.0,-289708.0,-96056.0
Total Expenses,2487677.0,535613.0,96056.0
Total Operating Income As Reported,-2487677.0,-535613.0,
Diluted Average Shares,11810000.0,2934583.0,10287500.0
Basic Average Shares,3185000.0,1856458.0,10287500.0
Diluted EPS,-0.12,-0.1,-0.009337
Basic EPS,-0.12,-0.1,-0.009337
Diluted NI Availto Com Stockholders,-1363129.0,-289708.0,-96056.0
Net Income Common Stockholders,-1363129.0,-289708.0,-96056.0
Net Income,-1363129.0,-289708.0,-96056.0
Net Income Including Noncontrolling Interests,-1363129.0,-289708.0,-96056.0
Net Income Continuous Operations,-1363129.0,-289708.0,-96056.0
Pretax Income,-1363129.0,-289708.0,-96056.0
Net Non Operating Interest Income Expense,1124548.0,245905.0,
Interest Income Non Operating,1124548.0,245905.0,
Operating Income,-2487677.0,-535613.0,-96056.0
Operating Expense,2487677.0,535613.0,96056.0
Other Operating Expenses,2487677.0,535613.0,96056.0
Total Revenue,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0
