,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2023-12-31
Tax Effect Of Unusual Items,708294295.84576,1233792599.620493,644156917.342196,546266211.604096,403395414.760294,
Tax Rate For Calcs,0.216471,0.243496,0.243999,0.245734,0.244927,
Normalized EBITDA,48429000000.0,40607000000.0,46039000000.0,52432000000.0,47881000000.0,
Total Unusual Items,3272000000.0,5067000000.0,2640000000.0,2223000000.0,1647000000.0,
Total Unusual Items Excluding Goodwill,3272000000.0,5067000000.0,2640000000.0,2223000000.0,1647000000.0,
Net Income From Continuing Operation Net Minority Interest,33304000000.0,35696000000.0,33538000000.0,32088000000.0,30032000000.0,
Reconciled Depreciation,6855000000.0,,,8308000000.0,7289000000.0,
Reconciled Cost Of Revenue,157247000000.0,155525000000.0,153922000000.0,155049000000.0,153306000000.0,
EBITDA,51701000000.0,45674000000.0,48679000000.0,54655000000.0,49528000000.0,
EBIT,44846000000.0,45674000000.0,48679000000.0,46347000000.0,42239000000.0,
Net Interest Income,3719000000.0,3762000000.0,3332000000.0,3007000000.0,2339000000.0,
Interest Expense,2263000000.0,-1756000000.0,4146000000.0,3569000000.0,2023000000.0,
Interest Income,7327000000.0,7529000000.0,7478000000.0,6576000000.0,5627000000.0,
Normalized Income,30740294295.84576,31862792599.620495,31542156917.342197,30411266211.604095,28788395414.760296,
Net Income From Continuing And Discontinued Operation,33304000000.0,35696000000.0,33538000000.0,32088000000.0,30032000000.0,
Total Expenses,185804000000.0,186732000000.0,184632000000.0,185471000000.0,183363000000.0,
Total Operating Income As Reported,35724000000.0,39087000000.0,38966000000.0,37149000000.0,36069000000.0,
Diluted Average Shares,10492102015.0,,10482964010.0,10482157874.0,10473536226.0,10461832626.0
Basic Average Shares,10472085808.0,,10457414881.0,10453511270.0,10451552512.0,10436941772.0
Diluted EPS,3.17,,3.2,3.06,2.87,2.58
Basic EPS,3.18,,3.21,3.07,2.87,2.58
Diluted NI Availto Com Stockholders,33304000000.0,35696000000.0,33538000000.0,32088000000.0,30032000000.0,
Net Income Common Stockholders,33304000000.0,35696000000.0,33538000000.0,32088000000.0,30032000000.0,
Net Income,33304000000.0,35696000000.0,33538000000.0,32088000000.0,30032000000.0,
Minority Interests,-61000000.0,-185000000.0,-129000000.0,-178000000.0,-334000000.0,
Net Income Including Noncontrolling Interests,33365000000.0,35881000000.0,33667000000.0,32266000000.0,30366000000.0,
Net Income Continuous Operations,33365000000.0,35881000000.0,33667000000.0,32266000000.0,30366000000.0,
Tax Provision,9218000000.0,11549000000.0,10866000000.0,10512000000.0,9850000000.0,
Pretax Income,42583000000.0,47430000000.0,44533000000.0,42778000000.0,40216000000.0,
Other Income Expense,3322000000.0,5358000000.0,2645000000.0,2226000000.0,1602000000.0,
Earnings From Equity Interest,50000000.0,291000000.0,5000000.0,3000000.0,-45000000.0,
Gain On Sale Of Security,3272000000.0,4514000000.0,2640000000.0,2223000000.0,1647000000.0,
Net Non Operating Interest Income Expense,3719000000.0,3762000000.0,3332000000.0,3007000000.0,2339000000.0,
Total Other Finance Cost,1345000000.0,,,,1265000000.0,
Interest Expense Non Operating,2263000000.0,-1756000000.0,4146000000.0,3569000000.0,2023000000.0,
Interest Income Non Operating,7327000000.0,7529000000.0,7478000000.0,6576000000.0,5627000000.0,
Operating Income,35542000000.0,38310000000.0,38556000000.0,37545000000.0,36275000000.0,
Operating Expense,28557000000.0,31207000000.0,30710000000.0,30422000000.0,30057000000.0,
Selling General And Administration,28557000000.0,22598000000.0,30710000000.0,30422000000.0,30057000000.0,
Selling And Marketing Expense,15285000000.0,-41393000000.0,16081000000.0,17388000000.0,15844000000.0,
General And Administrative Expense,13272000000.0,63991000000.0,14629000000.0,13034000000.0,14213000000.0,
Other Gand A,13272000000.0,-16686000000.0,14629000000.0,13034000000.0,14213000000.0,
Gross Profit,64099000000.0,69517000000.0,69266000000.0,67967000000.0,66332000000.0,
Cost Of Revenue,157247000000.0,155525000000.0,153922000000.0,155049000000.0,153306000000.0,
Total Revenue,221346000000.0,225042000000.0,223188000000.0,223016000000.0,219638000000.0,
Operating Revenue,221346000000.0,225042000000.0,223188000000.0,223016000000.0,219638000000.0,
