quarter,epsActual,epsEstimate,epsDifference,surprisePercent
2023-12-31,-0.01,0.01,-0.02,-2.0
2023-09-30,0.01,0.02,-0.01,-0.5
2023-06-30,0.0702,0.01,0.06,6.02
2023-03-31,0.0074,0.0,0.01,0.0
