,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.043309,0.045,0.04165,0.044487,0.043764
Normalized EBITDA,18531000.0,20719000.0,31319000.0,40618000.0,26825000.0
Net Income From Continuing Operation Net Minority Interest,2365000.0,2683000.0,4105000.0,5347000.0,3646000.0
Reconciled Depreciation,580000.0,486000.0,697000.0,419000.0,368000.0
Reconciled Cost Of Revenue,171985000.0,171192000.0,214157000.0,204140000.0,161875000.0
EBITDA,18531000.0,20719000.0,31319000.0,40618000.0,26825000.0
EBIT,17951000.0,20233000.0,30622000.0,40199000.0,26457000.0
Net Interest Income,-772000.0,-666000.0,-586000.0,-614000.0,-591000.0
Interest Expense,772000.0,666000.0,586000.0,614000.0,591000.0
Normalized Income,2365000.0,2683000.0,4105000.0,5347000.0,3646000.0
Net Income From Continuing And Discontinued Operation,2365000.0,2683000.0,4105000.0,5347000.0,3646000.0
Total Expenses,206687000.0,204191000.0,257052000.0,238277000.0,193684000.0
Diluted Average Shares,8998470.0,9133263.0,9120592.0,51533407.0,51282051.0
Basic Average Shares,8998470.0,8966734.0,8846232.0,8846154.0,51282051.0
Diluted EPS,0.26,0.3,0.46,0.58,0.071097
Basic EPS,0.26,0.3,0.46,0.6,0.071097
Diluted NI Availto Com Stockholders,2365000.0,2683000.0,4430000.0,5347000.0,3646000.0
Net Income Common Stockholders,2365000.0,2683000.0,4105000.0,5347000.0,3646000.0
Net Income,2365000.0,2683000.0,4105000.0,5347000.0,3646000.0
Minority Interests,-14070000.0,-16027000.0,-24680000.0,-32477000.0,-21088000.0
Net Income Including Noncontrolling Interests,16435000.0,18710000.0,28785000.0,37824000.0,24734000.0
Net Income Continuous Operations,16435000.0,18710000.0,28785000.0,37824000.0,24734000.0
Tax Provision,744000.0,857000.0,1251000.0,1761000.0,1132000.0
Pretax Income,17179000.0,19567000.0,30036000.0,39585000.0,25866000.0
Other Income Expense,714000.0,-298000.0,188000.0,641000.0,-792000.0
Other Non Operating Income Expenses,116000.0,-517000.0,-173000.0,245000.0,-1012000.0
Earnings From Equity Interest,598000.0,219000.0,361000.0,396000.0,220000.0
Net Non Operating Interest Income Expense,-772000.0,-666000.0,-586000.0,-614000.0,-591000.0
Interest Expense Non Operating,772000.0,666000.0,586000.0,614000.0,591000.0
Operating Income,17237000.0,20531000.0,30434000.0,39558000.0,27249000.0
Operating Expense,34702000.0,32999000.0,42895000.0,34137000.0,31809000.0
Selling General And Administration,34702000.0,32999000.0,42895000.0,34137000.0,31809000.0
Gross Profit,51939000.0,53530000.0,73329000.0,73695000.0,59058000.0
Cost Of Revenue,171985000.0,171192000.0,214157000.0,204140000.0,161875000.0
Total Revenue,223924000.0,224722000.0,287486000.0,277835000.0,220933000.0
Operating Revenue,223924000.0,224722000.0,287486000.0,277835000.0,220933000.0
