,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.0,0.0,0.21,
Net Income From Continuing Operation Net Minority Interest,1688000.0,10328000.0,-9049000.0,-4108000.0,1801000.0,
Reconciled Depreciation,0.0,0.0,69000.0,102000.0,102000.0,
Net Interest Income,6870000.0,7007000.0,6821000.0,9336000.0,9378000.0,
Interest Expense,4022000.0,4117000.0,4572000.0,4684000.0,4913000.0,
Interest Income,10892000.0,11124000.0,11393000.0,14020000.0,14291000.0,
Normalized Income,1688000.0,10328000.0,-9049000.0,-4108000.0,1801000.0,
Net Income From Continuing And Discontinued Operation,1688000.0,10328000.0,-9049000.0,-4108000.0,1801000.0,
Diluted Average Shares,,13398078.0,13398078.0,13398078.0,13398078.0,13398078.0
Basic Average Shares,,13398078.0,13398078.0,13398078.0,13398078.0,13398078.0
Diluted EPS,,0.77,-0.67,-0.31,0.14,-0.15
Basic EPS,,0.77,-0.67,-0.31,0.14,-0.15
Diluted NI Availto Com Stockholders,1688000.0,10328000.0,-9049000.0,-4108000.0,1801000.0,
Net Income Common Stockholders,1688000.0,10328000.0,-9049000.0,-4108000.0,1801000.0,
Net Income,1688000.0,10328000.0,-9049000.0,-4108000.0,1801000.0,
Net Income Including Noncontrolling Interests,1688000.0,10328000.0,-9049000.0,-4108000.0,1801000.0,
Net Income Continuous Operations,1688000.0,10328000.0,-9049000.0,-4108000.0,1801000.0,
Pretax Income,1688000.0,10328000.0,-9049000.0,-4108000.0,1801000.0,
Gain On Sale Of Security,-11116000.0,-4304000.0,798000.0,-1110000.0,117000.0,
Operating Expense,920000.0,1274000.0,1143000.0,1283000.0,1398000.0,
Other Operating Expenses,,,,0.0,194000.0,
Selling General And Administration,920000.0,1274000.0,1143000.0,1283000.0,1204000.0,
General And Administrative Expense,920000.0,1274000.0,1143000.0,1283000.0,1204000.0,
Total Revenue,2608000.0,11602000.0,-7906000.0,-2825000.0,3199000.0,
Operating Revenue,2608000.0,11602000.0,-7906000.0,-2825000.0,3199000.0,
