,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.103092,0.157,0.134,0.14,0.080945,,
Normalized EBITDA,12657000.0,11718000.0,11755000.0,12405000.0,14500000.0,,
Net Income From Continuing Operation Net Minority Interest,11632000.0,10122000.0,10467000.0,11185000.0,13534000.0,,
Reconciled Depreciation,571000.0,572000.0,584000.0,549000.0,536000.0,,
Reconciled Cost Of Revenue,23926000.0,18834000.0,18444000.0,19387000.0,22485000.0,,
EBITDA,12657000.0,11718000.0,11755000.0,12405000.0,14500000.0,,
EBIT,12086000.0,11146000.0,11171000.0,11856000.0,13964000.0,,
Net Interest Income,883000.0,862000.0,921000.0,1144000.0,762000.0,,
Normalized Income,11632000.0,10122000.0,10467000.0,11185000.0,13534000.0,,
Net Income From Continuing And Discontinued Operation,11632000.0,10122000.0,10467000.0,11185000.0,13534000.0,,
Total Expenses,38638000.0,32815000.0,31762000.0,32147000.0,36366000.0,,
Total Operating Income As Reported,12086000.0,11146000.0,11171000.0,11856000.0,13964000.0,,
Diluted Average Shares,,36253000.0,36776000.0,37180000.0,,37118000.0,37018000.0
Basic Average Shares,,36111000.0,36538000.0,36865000.0,,36835000.0,36829000.0
Diluted EPS,,0.28,0.28,0.3,,0.36,0.34
Basic EPS,,0.28,0.29,0.3,,0.36,0.34
Diluted NI Availto Com Stockholders,11632000.0,10122000.0,10467000.0,11185000.0,13534000.0,,
Net Income Common Stockholders,11632000.0,10122000.0,10467000.0,11185000.0,13534000.0,,
Net Income,11632000.0,10122000.0,10467000.0,11185000.0,13534000.0,,
Net Income Including Noncontrolling Interests,11632000.0,10122000.0,10467000.0,11185000.0,13534000.0,,
Net Income Continuous Operations,11632000.0,10122000.0,10467000.0,11185000.0,13534000.0,,
Tax Provision,1337000.0,1886000.0,1625000.0,1815000.0,1192000.0,,
Pretax Income,12969000.0,12008000.0,12092000.0,13000000.0,14726000.0,,
Net Non Operating Interest Income Expense,883000.0,862000.0,921000.0,1144000.0,762000.0,,
Total Other Finance Cost,-883000.0,-862000.0,-921000.0,-1144000.0,-762000.0,,
Operating Income,12086000.0,11146000.0,11171000.0,11856000.0,13964000.0,,
Operating Expense,14712000.0,13981000.0,13318000.0,12760000.0,13881000.0,,
Research And Development,3232000.0,3185000.0,3107000.0,3057000.0,3027000.0,,
Selling General And Administration,11480000.0,10796000.0,10211000.0,9703000.0,10854000.0,,
Gross Profit,26798000.0,25127000.0,24489000.0,24616000.0,27845000.0,,
Cost Of Revenue,23926000.0,18834000.0,18444000.0,19387000.0,22485000.0,,
Total Revenue,50724000.0,43961000.0,42933000.0,44003000.0,50330000.0,,
Operating Revenue,50724000.0,43961000.0,42933000.0,44003000.0,50330000.0,,
