GradeDate,Firm,ToGrade,FromGrade,Action
2024-07-31 19:03:06,Barclays,Underweight,Underweight,main
2024-07-25 17:33:56,Benchmark,Buy,Buy,reit
2024-07-03 17:52:09,Citigroup,Buy,Buy,main
2024-05-14 12:45:20,Barclays,Underweight,Equal-Weight,down
2024-04-26 16:34:23,Benchmark,Buy,Buy,reit
2024-04-25 15:08:48,Benchmark,Buy,Buy,reit
2024-03-11 12:25:33,Piper Sandler,Neutral,Neutral,main
2024-02-29 12:20:11,Barclays,Equal-Weight,Equal-Weight,main
2023-11-02 15:33:27,Barclays,Equal-Weight,Equal-Weight,main
2023-09-25 14:55:44,Citigroup,Buy,Buy,main
2023-08-11 14:06:20,Citigroup,Buy,Buy,main
2023-07-27 14:33:38,Benchmark,Buy,Buy,reit
2023-03-02 15:07:34,Barclays,Equal-Weight,,main
2023-02-27 14:07:07,Benchmark,Buy,,reit
2023-01-19 13:31:30,Benchmark,Buy,,init
2022-10-19 11:56:13,Citigroup,Buy,,main
2022-08-02 12:08:19,Barclays,Overweight,,main
2022-04-18 13:05:29,Piper Sandler,Overweight,,main
2022-03-07 12:01:24,Piper Sandler,Overweight,,main
2021-05-05 14:34:22,B of A Securities,Buy,Neutral,up
2020-08-12 14:10:13,Piper Sandler,Neutral,,main
2020-05-14 16:17:49,CFRA,Hold,,main
2020-04-24 11:14:55,Citigroup,Buy,Neutral,up
2020-04-15 12:49:06,Piper Sandler,Neutral,,main
2020-04-06 12:14:04,Bernstein,Market Perform,Underperform,up
2020-03-09 16:37:08,B of A Securities,Neutral,Buy,down
2020-01-14 11:46:37,Bernstein,Underperform,,init
2019-12-17 11:21:27,Goldman Sachs,Buy,Neutral,up
2019-12-12 11:22:51,Evercore ISI Group,Outperform,In-Line,up
2019-11-21 14:39:33,Wolfe Research,Outperform,,init
2019-11-12 12:01:03,B of A Securities,Buy,,init
2019-08-15 13:11:38,Citigroup,Neutral,,main
2019-03-15 11:27:41,Jefferies,Buy,Hold,up
2019-03-11 11:57:35,Goldman Sachs,Neutral,,init
2019-02-20 11:23:38,Barclays,Overweight,Equal-Weight,up
2019-01-17 14:19:53,JP Morgan,Underweight,,init
2018-12-20 13:44:07,Societe Generale,Hold,Buy,down
2018-10-29 15:03:05,Barclays,Equal-Weight,Equal-Weight,main
2018-10-12 14:37:31,Societe Generale,Buy,Hold,up
2018-09-17 12:01:29,JP Morgan,Underweight,Underweight,main
2018-07-27 16:32:37,Credit Suisse,Neutral,Neutral,main
2018-07-27 14:43:57,Wells Fargo,Market Perform,Market Perform,main
2018-05-24 10:20:28,Wells Fargo,Market Perform,Underperform,up
2018-05-14 12:21:08,Goldman Sachs,Buy,Neutral,up
2018-03-14 10:43:09,Jefferies,Hold,Underperform,up
2018-02-27 19:41:19,Barclays,Equal-Weight,Equal-Weight,main
2018-02-27 12:31:12,Loop Capital,Hold,Hold,main
2018-02-26 13:13:59,Credit Suisse,Neutral,Neutral,main
2018-02-26 12:38:41,Wells Fargo,Outperform,Outperform,main
2018-01-04 11:48:58,Jefferies,Underperform,Hold,down
2017-11-16 14:28:56,Capital One,Equal-Weight,Overweight,down
